Kraj,Country_Code,Year,Competition Policy,Governance and enterprise restructuring,Large scale privatisation,Price liberalisation,Small scale privatisation,Trade & Forex system,SDR_Malignant_Neoplasms,SDR_Malignant_Neoplasms_Male,SDR_Malignant_Neoplasms_Female,SDR_External_Causes,SDR_External_Causes_Male,SDR_External_Causes_Female,SDR_Alcohol_Related,SDR_Alcohol_Related_Male,SDR_Alcohol_Related_Female,SDR_Suicide,SDR_Suicide_Male,SDR_Suicide_Female,SDR_Ischaemic_Heart,SDR_Ischaemic_Heart_Male,SDR_Ischaemic_Heart_Female,SDR_Circulatory_System,SDR_Circulatory_System_Male,SDR_Circulatory_System_Female,Life_Expectancy,Life_Expectancy_Male,Life_Expectancy_Female,Civil_Society_Participation,Health_Equality,GDP_Per_Capita,Alcohol_Consumption,War,Gov_Expenditure,Employment_Rate,Public_Health_Expenditure,Private_Sector_Share_GDP,Inflation,Unemployment_Rate
Białoruś,BLR,1989,1.0,1.0,1.0,1.0,1.0,1.0,173.91,266.75,119.38,99.88,170.28,38.66,,,,22.57,40.12,7.91,363.44,488.14,290.49,567.98,720.58,475.33,71.83,66.79,76.4,,,11893,,0,,84.2,,,,
Białoruś,BLR,1990,1.0,1.0,1.0,1.0,1.0,1.0,176.56,267.89,122.31,103.4,175.8,40.61,,,,21.25,37.16,7.75,335.99,459.49,262.19,544.7,703.68,447.39,71.24,66.26,75.83,0.493,1.616,11467,,0,23.7875288683603,83.7,2.5,5.0,,
Białoruś,BLR,1991,1.0,1.0,1.0,1.0,1.0,1.0,178.39,273.34,121.68,111.8,188.12,45.22,124.21,208.85,52.06,21.98,38.9,7.74,325.59,456.41,246.5,541.2,715.51,433.32,70.68,65.57,75.5,0.51,1.616,11171,,0,22.2222222222222,81.9,,5.0,84.0,0.1
Białoruś,BLR,1992,1.0,1.0,1.0,2.3,1.0,1.0,184.46,282.36,125.92,123.78,210.97,46.91,135.54,231.82,52.59,24.5,43.13,8.44,325.33,456.27,245.29,535.24,704.57,428.16,70.36,65.07,75.45,0.626,1.616,9961,,0,15.2173913043478,79.8,,10.0,971.0,0.5
Białoruś,BLR,1993,2.0,1.0,1.7,2.3,2.0,1.0,182.77,284.29,120.3,135.75,232.06,52.01,148.63,254.37,58.3,29.0,52.21,9.2,378.14,533.77,282.34,607.85,810.83,480.04,69.21,63.82,74.6,0.626,1.616,9077,,0,18.4771573604061,78.6,,10.0,1190.0,1.4
Białoruś,BLR,1994,2.0,1.0,1.7,2.7,2.0,1.0,182.14,282.88,120.39,143.4,246.87,53.67,156.34,269.6,59.7,31.66,57.3,9.98,387.61,549.0,288.81,610.24,818.14,479.43,68.99,63.48,74.51,0.626,1.616,7932,,0,20.5136851570842,76.3,5.4,15.0,2221.0,2.1
Białoruś,BLR,1995,2.0,1.7,1.7,3.7,2.0,2.0,187.3,292.27,123.4,150.64,257.95,58.77,165.54,283.6,66.14,32.25,59.88,9.16,395.39,577.1,286.48,620.36,855.49,476.3,68.58,62.85,74.38,0.609,1.616,6994,,0,20.5497392980404,71.5,4.9,15.0,709.0,2.7
Białoruś,BLR,1996,2.0,1.7,1.0,3.7,2.0,2.0,180.34,283.48,117.77,155.7,269.96,58.97,170.6,295.86,65.94,36.44,68.98,9.43,487.52,551.68,420.28,710.27,826.57,608.06,68.61,63.35,73.9,0.448,1.616,7128,,0,20.5516083799436,70.8,5.0,15.0,53.0,3.9
Białoruś,BLR,1997,2.0,1.0,1.0,4.0,2.0,1.0,183.18,290.36,118.76,156.38,266.84,62.36,173.78,297.97,71.17,35.02,65.07,9.96,404.1,590.26,294.07,636.49,882.25,487.44,68.57,62.87,74.39,0.484,1.616,7885,,0,20.3219474961154,70.9,5.1,20.0,64.0,2.8
Białoruś,BLR,1998,2.0,1.0,1.0,2.7,2.0,1.0,182.44,287.83,119.58,167.0,286.96,64.74,185.98,321.11,74.46,35.11,65.99,9.36,416.43,608.02,302.8,652.92,905.01,499.93,68.55,62.71,74.56,0.485,1.616,8482,,0,19.8646749107398,71.5,4.9,20.0,73.0,2.3
Białoruś,BLR,1999,2.0,1.0,1.0,2.3,2.0,1.0,185.51,289.85,122.92,169.06,289.09,64.82,190.79,328.19,75.89,33.67,62.54,9.44,454.54,647.66,338.94,693.27,944.64,538.29,67.99,62.26,73.99,0.325,1.616,8690,,0,19.5036522690862,71.7,5.0,20.0,293.7,2.1
Białoruś,BLR,2000,2.0,1.0,1.0,2.3,2.0,1.7,180.27,282.76,118.34,156.29,267.09,60.81,177.15,304.41,71.77,34.14,64.39,8.58,430.92,615.14,320.37,658.07,897.73,509.59,68.99,63.39,74.76,0.288,1.616,9111,,0,19.4785302940726,71.5,5.0,20.0,168.6,2.1
Białoruś,BLR,2001,2.0,1.0,1.0,2.7,2.0,2.0,178.98,279.42,118.24,163.8,282.98,61.25,187.85,325.01,74.21,32.28,60.51,8.35,456.41,650.98,338.41,693.76,950.35,532.47,68.53,62.8,74.54,0.281,1.616,9462,,0,21.5527682668344,70.9,,20.0,61.4,2.3
Białoruś,BLR,2002,2.0,1.0,1.0,2.7,2.0,2.3,176.18,277.95,115.11,167.92,289.08,64.99,,,,32.09,59.43,8.91,461.76,676.89,333.26,706.89,990.67,531.54,68.01,62.27,74.13,0.281,1.616,9870,,0,21.0292941775096,70.0,,25.0,42.6,3.0
Białoruś,BLR,2003,2.0,1.0,1.0,2.7,2.3,2.3,169.47,269.48,110.14,161.6,279.76,61.83,,,,33.34,62.19,9.07,456.26,678.4,324.78,693.48,987.94,514.34,68.53,62.7,74.69,0.281,1.616,10493,,0,21.3793046864744,68.9,,25.0,28.5,3.1
Białoruś,BLR,2004,2.0,1.0,1.0,2.7,2.3,2.3,170.51,269.42,112.31,162.18,279.97,64.35,,,,31.56,59.44,8.1,424.72,631.4,307.42,671.67,966.86,494.99,68.97,63.2,75.01,0.281,1.616,11616,,0,20.6031789213431,68.1,,25.0,19.3,
Białoruś,BLR,2005,2.0,1.0,1.0,2.7,2.3,2.3,147.95,210.67,111.52,165.62,288.45,63.26,,,,28.95,53.95,7.82,,693.58,,691.15,995.65,508.46,68.84,62.92,75.11,0.281,1.616,12630,,0,20.785312392899,69.2,,,,
Białoruś,BLR,2006,2.0,1.0,1.0,2.7,2.3,2.3,,,,,,,,,,,,,,,,,,,,,,0.281,1.616,13793,,0,19.2073624585262,70.0,,,,
Białoruś,BLR,2007,2.0,1.0,1.0,2.7,2.3,2.3,161.99,254.28,107.99,138.72,240.01,53.52,,,,25.26,46.56,7.61,396.49,604.91,276.16,590.18,864.0,427.37,70.38,64.62,76.25,0.281,1.616,14857,,0,18.5231764837859,70.8,,,,
Białoruś,BLR,2008,2.0,1.7,1.7,2.7,2.3,2.3,163.29,256.12,108.56,138.38,242.09,51.57,,,,25.14,45.96,8.04,400.8,617.23,275.17,586.92,873.06,417.02,70.58,64.7,76.6,0.281,1.616,16224,,0,16.5249771170222,72.6,,,,
Białoruś,BLR,2009,2.0,1.7,1.7,3.0,2.3,2.3,160.63,254.43,104.25,133.33,232.8,50.77,,,,25.83,46.85,8.45,414.81,642.21,283.65,600.83,892.73,427.56,70.62,64.81,76.57,0.281,1.616,16089,,0,16.1000708699266,73.5,,,,
Białoruś,BLR,2010,2.0,1.7,1.7,3.3,2.3,2.3,161.48,252.62,107.75,138.32,242.14,51.74,,,,23.59,43.83,6.7,422.24,651.69,287.06,604.48,900.9,425.86,70.52,64.63,76.6,0.267,2.087,17172,,0,16.0213954939935,74.9,,,,
Białoruś,BLR,2011,2.0,1.7,1.7,3.0,2.3,2.0,158.45,248.01,105.06,130.38,228.78,48.29,,,,20.89,38.4,6.44,396.77,625.37,263.58,571.15,867.95,394.03,70.77,64.76,76.97,0.267,2.087,17918,,0,13.4483555468763,75.3,,,,
Białoruś,BLR,2012,2.0,1.7,1.7,3.0,2.3,2.3,,,,,,,,,,,,,,,,,,,,,,0.267,2.087,18251,,0,13.5666972902762,74.7,,,,
Białoruś,BLR,2013,2.0,1.7,1.7,3.0,2.3,2.3,149.01,228.4,101.38,100.18,175.68,37.53,,,,18.16,33.67,5.53,371.36,571.41,255.63,520.26,781.0,366.65,72.8,67.31,78.1,0.266,2.366,18464,,0,13.4298113058447,74.8,,,,
Białoruś,BLR,2014,2.0,1.7,1.7,3.0,2.3,2.3,147.44,229.99,98.2,92.53,161.8,34.72,,,,16.63,31.38,4.69,375.97,579.69,257.97,522.17,781.81,368.81,73.37,67.86,78.65,0.266,2.366,18822,,0,13.7542695534472,74.9,,,,
Bułgaria,BGR,1989,1.0,1.0,1.0,1.0,1.0,1.0,156.38,199.65,119.08,61.88,97.88,28.13,122.13,196.56,52.48,15.63,23.82,8.39,222.77,276.86,175.53,694.33,808.77,595.24,71.47,68.29,74.88,0.059,2.539,9908,11.4,0,16.5346949913086,81.5,,,10.0,
Bułgaria,BGR,1990,1.0,1.0,1.0,1.0,1.0,2.0,152.43,195.15,116.13,60.85,97.1,26.82,119.47,194.66,49.22,14.07,20.9,7.94,230.09,287.71,179.99,691.38,812.95,586.38,71.48,68.25,74.94,0.766,1.45,8922,11.5,0,18.1865848876199,77.9,,10.0,72.5,
Bułgaria,BGR,1991,2.0,1.0,1.0,4.3,1.0,3.0,155.44,198.08,119.35,56.48,87.8,27.24,109.31,172.36,50.64,14.55,22.83,7.27,231.84,288.65,182.6,699.24,818.15,597.02,71.45,68.37,74.73,0.766,1.45,8320,9.5,0,19.033161385409,68.3,6.4,15.0,333.5,11.1
Bułgaria,BGR,1992,2.0,1.0,1.7,4.3,1.0,3.0,158.43,202.96,120.92,66.57,106.08,29.67,124.58,201.91,52.59,16.63,26.0,8.24,218.82,276.97,168.82,677.88,804.36,569.2,71.19,67.84,74.79,0.766,1.45,7846,10.2,0,20.3361553784861,63.3,5.7,25.0,82.0,15.3
Bułgaria,BGR,1993,2.0,1.0,2.0,4.3,1.7,3.0,158.37,204.52,119.57,63.11,101.81,26.71,122.27,201.76,48.01,16.0,23.89,8.83,237.78,304.59,180.09,705.75,849.7,582.26,71.15,67.55,75.05,0.766,1.45,7959,9.9,0,18.8558046169287,58.3,5.1,35.0,73.0,16.4
Bułgaria,BGR,1994,2.0,2.0,2.0,4.0,2.0,4.0,163.62,212.58,122.09,66.8,107.42,28.72,130.2,213.47,52.5,15.86,24.35,8.37,231.38,295.66,175.97,706.41,846.18,586.47,70.84,67.22,74.76,0.766,1.45,8212,9.7,0,17.1893074581431,56.7,4.2,40.0,96.3,12.8
Bułgaria,BGR,1995,2.0,2.0,2.0,2.7,3.0,4.0,161.58,208.16,122.48,62.66,100.95,26.79,124.09,204.66,49.19,15.49,23.65,8.17,234.78,305.67,174.79,725.58,871.49,601.05,70.99,67.4,74.88,0.766,1.45,8567,9.5,0,15.3481641512703,58.3,3.5,45.0,62.0,11.1
Bułgaria,BGR,1996,2.0,2.0,2.0,2.7,3.0,4.0,161.26,206.76,123.15,61.02,98.57,26.42,118.15,194.76,47.85,16.65,26.26,8.2,223.61,286.57,170.88,748.55,890.81,628.41,70.94,67.49,74.64,0.766,1.45,7901,9.2,0,13.8490054815903,60.0,2.9,45.0,123.0,12.5
Bułgaria,BGR,1997,2.3,2.3,3.0,4.0,3.0,4.0,160.64,206.37,122.88,57.46,90.34,27.28,111.86,180.85,48.98,15.81,23.55,9.09,238.82,307.17,181.61,814.1,971.39,683.24,70.28,66.97,73.81,0.766,1.45,7927,8.1,0,12.1431675540765,59.9,2.8,50.0,1082.0,13.7
Bułgaria,BGR,1998,2.3,2.3,3.0,4.0,3.0,4.0,158.03,206.49,118.48,56.73,90.79,25.53,81.76,135.07,33.6,16.37,25.27,8.7,232.9,297.07,179.57,813.14,972.36,681.38,70.93,67.44,74.66,0.729,1.45,8322,7.9,0,18.3452571005378,59.4,3.4,65.0,22.3,12.2
Bułgaria,BGR,1999,2.3,2.3,3.0,4.0,3.3,4.3,157.77,203.2,120.67,52.21,83.15,23.89,73.61,120.54,31.34,14.12,22.69,6.7,206.89,264.45,159.35,718.83,852.1,607.48,71.66,68.36,75.12,0.729,1.45,7922,7.7,0,19.6065030074748,56.3,3.3,70.0,0.7,14.1
Bułgaria,BGR,2000,2.3,2.3,3.7,4.0,3.7,4.3,150.06,191.77,116.43,52.38,82.59,24.62,74.96,122.41,32.28,15.0,23.62,7.39,193.55,246.92,148.89,737.07,876.73,620.19,71.71,68.48,75.08,0.729,1.45,8411,9.0,0,19.7851119720333,54.7,3.3,70.0,9.9,17.9
Bułgaria,BGR,2001,2.3,2.3,3.7,4.3,3.7,4.3,152.09,199.59,114.25,50.03,80.57,22.01,72.15,119.64,29.42,14.25,22.45,7.04,190.03,243.91,145.37,710.47,854.15,591.2,71.91,68.55,75.44,0.729,1.45,8832,9.3,0,19.368455899514,53.7,3.0,70.0,7.4,17.3
Bułgaria,BGR,2002,2.3,2.3,3.7,4.3,3.7,4.3,154.84,202.12,116.93,48.84,78.09,22.1,70.03,114.61,29.95,14.27,23.2,6.52,196.67,253.68,150.39,722.9,872.22,600.7,72.16,68.86,75.61,0.729,1.45,9472,9.2,0,19.178153843914,55.5,3.1,70.0,5.9,17.8
