"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"ALB","","ALL","1987","64.45"
"ALB","","ALL","1988","65.46"
"ALB","","ALL","1989","72.24"
"ALB","","ALL","1992","73.32"
"ALB","","ALL","1993","65.83"
"ALB","","ALL","1994","61.78"
"ALB","","ALL","1995","80.82"
"ALB","","ALL","1996","88.52"
"ALB","","ALL","1997","83.78"
"ALB","","ALL","1998","92.32"
"ALB","","ALL","1999","92.18"
"ALB","","ALL","2000","110.25"
"ALB","","ALL","2001","86.46"
"ALB","","ALL","2002","108.21"
"ALB","","ALL","2003","127.82"
"ALB","","ALL","2004","121.39"
"ALB","","ALL","2005","110.93"
"ALB","","ALL","2006","105.14"
"ALB","","ALL","2007","89.93"
"ALB","","ALL","2008","119.01"
"ALB","","ALL","2009","113.27"
"ARM","","ALL","1981","301.22"
"ARM","","ALL","1982","324.27"
"ARM","","ALL","1985","333.77"
"ARM","","ALL","1986","336.31"
"ARM","","ALL","1987","341.96"
"ARM","","ALL","1988","350.98"
"ARM","","ALL","1989","367.53"
"ARM","","ALL","1990","374.17"
"ARM","","ALL","1991","375.16"
"ARM","","ALL","1992","407.81"
"ARM","","ALL","1993","412.17"
"ARM","","ALL","1994","354.36"
"ARM","","ALL","1995","368.21"
"ARM","","ALL","1996","355.09"
"ARM","","ALL","1997","339.35"
"ARM","","ALL","1998","321.86"
"ARM","","ALL","1999","328.65"
"ARM","","ALL","2000","297.13"
"ARM","","ALL","2001","282.97"
"ARM","","ALL","2002","385.81"
"ARM","","ALL","2003","387.34"
"ARM","","ALL","2008","328.86"
"ARM","","ALL","2012","274.29"
"ARM","","ALL","2013","272.06"
"ARM","","ALL","2014","273.15"
"ARM","","ALL","2015","255.11"
"ARM","","ALL","2016","263.18"
"ARM","","ALL","2017","237.04"
"ARM","","ALL","2018","188.87"
"ARM","","ALL","2019","187.91"
"ARM","","ALL","2022","203.17"
"AUT","","ALL","1969","198.82"
"AUT","","ALL","1970","206.5"
"AUT","","ALL","1971","212.38"
"AUT","","ALL","1972","211.64"
"AUT","","ALL","1973","204.7"
"AUT","","ALL","1974","215.02"
"AUT","","ALL","1975","223.44"
"AUT","","ALL","1976","226.74"
"AUT","","ALL","1977","225.69"
"AUT","","ALL","1978","232.67"
"AUT","","ALL","1979","225.87"
"AUT","","ALL","1980","152.89"
"AUT","","ALL","1981","161.88"
"AUT","","ALL","1982","161.21"
"AUT","","ALL","1983","167.28"
"AUT","","ALL","1984","158.85"
"AUT","","ALL","1985","161.08"
"AUT","","ALL","1986","156.3"
"AUT","","ALL","1987","154.48"
"AUT","","ALL","1988","149.84"
"AUT","","ALL","1989","152.08"
"AUT","","ALL","1990","154.49"
"AUT","","ALL","1991","159.45"
"AUT","","ALL","1992","155.6"
"AUT","","ALL","1993","153.72"
"AUT","","ALL","1994","150.53"
"AUT","","ALL","1995","151.97"
"AUT","","ALL","1996","149.83"
"AUT","","ALL","1997","149.16"
"AUT","","ALL","1998","149.93"
"AUT","","ALL","1999","144.9"
