"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"ALB","","ALL","1987","65.53"
"ALB","","ALL","1988","68.99"
"ALB","","ALL","1989","71.22"
"ALB","","ALL","1992","75.93"
"ALB","","ALL","1993","86.4"
"ALB","","ALL","1994","61.88"
"ALB","","ALL","1995","76.29"
"ALB","","ALL","1996","76.89"
"ALB","","ALL","1997","110.79"
"ALB","","ALL","1998","59.64"
"ALB","","ALL","1999","57.85"
"ALB","","ALL","2000","51.56"
"ALB","","ALL","2001","49.44"
"ALB","","ALL","2002","48.74"
"ALB","","ALL","2003","48.08"
"ALB","","ALL","2004","46.17"
"ALB","","ALL","2005","55.06"
"ALB","","ALL","2006","44.87"
"ALB","","ALL","2007","44.04"
"ALB","","ALL","2008","44.84"
"ALB","","ALL","2009","41.3"
"ARM","","ALL","1991","79.87"
"ARM","","ALL","1992","94.07"
"ARM","","ALL","1993","97.87"
"ARM","","ALL","1994","102.5"
"ARM","","ALL","1995","81.28"
"ARM","","ALL","1996","77.31"
"ARM","","ALL","1997","71.47"
"ARM","","ALL","1998","64.48"
"ARM","","ALL","1999","57.59"
"ARM","","ALL","2000","54.96"
"ARM","","ALL","2001","55.29"
"ARM","","ALL","2002","60.72"
"ARM","","ALL","2003","58.5"
"ARM","","ALL","2012","79.28"
"ARM","","ALL","2013","78.39"
"ARM","","ALL","2014","74.37"
"ARM","","ALL","2015","77.76"
"ARM","","ALL","2016","81.95"
"ARM","","ALL","2017","68.02"
"ARM","","ALL","2018","54.61"
"ARM","","ALL","2019","53.34"
"ARM","","ALL","2022","56.43"
"AUT","","ALL","1980","158.01"
"AUT","","ALL","1981","153.69"
"AUT","","ALL","1982","153.91"
"AUT","","ALL","1983","156.35"
"AUT","","ALL","1984","149.4"
"AUT","","ALL","1985","141.63"
"AUT","","ALL","1986","135.02"
"AUT","","ALL","1987","131.37"
"AUT","","ALL","1988","127.68"
"AUT","","ALL","1989","128.07"
"AUT","","ALL","1990","123.86"
"AUT","","ALL","1991","122.85"
"AUT","","ALL","1992","115.28"
"AUT","","ALL","1993","114.45"
"AUT","","ALL","1994","115.05"
"AUT","","ALL","1995","110.14"
"AUT","","ALL","1996","104.93"
"AUT","","ALL","1997","99.22"
"AUT","","ALL","1998","92.66"
"AUT","","ALL","1999","76.16"
"AUT","","ALL","2000","76.24"
"AUT","","ALL","2001","73.51"
"AUT","","ALL","2002","73.32"
"AUT","","ALL","2003","73.67"
"AUT","","ALL","2004","69.71"
"AUT","","ALL","2005","69.46"
"AUT","","ALL","2006","64.52"
"AUT","","ALL","2007","64.82"
"AUT","","ALL","2008","61.96"
"AUT","","ALL","2009","63.84"
"AUT","","ALL","2010","60.39"
"AUT","","ALL","2011","58.52"
"AUT","","ALL","2012","60.24"
"AUT","","ALL","2013","57.11"
"AUT","","ALL","2014","55.56"
"AUT","","ALL","2015","57.38"
"AUT","","ALL","2016","54.17"
"AUT","","ALL","2017","53.56"
"AUT","","ALL","2018","53.57"
"AUT","","ALL","2019","53.42"
"AUT","","ALL","2020","55.1"
"AUT","","ALL","2021","55.48"
"AZE","","ALL","1991","90.54"
"AZE","","ALL","1992","144.97"
"AZE","","ALL","1993","126.27"
"AZE","","ALL","1994","142.41"
"AZE","","ALL","1995","105.44"
"AZE","","ALL","1996","97.91"
"AZE","","ALL","1997","93.84"
"AZE","","ALL","1998","88.63"
"AZE","","ALL","1999","85.4"
"AZE","","ALL","2000","84.41"
"AZE","","ALL","2007","45.82"
"BEL","","ALL","1979","131.36"
"BEL","","ALL","1980","135.84"
"BEL","","ALL","1981","129.83"
"BEL","","ALL","1982","127.13"
"BEL","","ALL","1983","125.59"
"BEL","","ALL","1984","116.3"
"BEL","","ALL","1985","108.13"
"BEL","","ALL","1986","113.12"
"BEL","","ALL","1987","108.64"
"BEL","","ALL","1988","104.56"
"BEL","","ALL","1989","102.35"
"BEL","","ALL","1990","101.49"
"BEL","","ALL","1991","100.83"
"BEL","","ALL","1992","97.85"
"BEL","","ALL","1993","79.13"
"BEL","","ALL","1994","80.85"
"BEL","","ALL","1995","76.23"
"BEL","","ALL","1996","74.07"
"BEL","","ALL","1997","75.35"
"BEL","","ALL","1998","76.54"
"BEL","","ALL","1999","74.3"
"BEL","","ALL","2000","77.08"
"BEL","","ALL","2001","76.97"
"BEL","","ALL","2002","73.2"
"BEL","","ALL","2003","70.29"
"BEL","","ALL","2004","68.83"
"BEL","","ALL","2005","68.98"
"BEL","","ALL","2006","66.98"
"BEL","","ALL","2007","66.93"
"BEL","","ALL","2008","67.91"
"BEL","","ALL","2009","67.46"
"BEL","","ALL","2010","65.45"
"BEL","","ALL","2011","64.75"
"BEL","","ALL","2012","66.13"
"BEL","","ALL","2013","63.06"
"BEL","","ALL","2014","60.93"
"BEL","","ALL","2015","62.22"
"BEL","","ALL","2016","59.49"
"BEL","","ALL","2017","58.52"
"BEL","","ALL","2018","61.63"
"BEL","","ALL","2019","58.54"
"BEL","","ALL","2020","57.47"
"BGR","","ALL","1980","111.38"
"BGR","","ALL","1981","108.86"
"BGR","","ALL","1982","114.9"
"BGR","","ALL","1983","114.72"
"BGR","","ALL","1984","115.14"
"BGR","","ALL","1985","118.64"
"BGR","","ALL","1986","114.86"
"BGR","","ALL","1987","116.4"
"BGR","","ALL","1988","116.97"
"BGR","","ALL","1989","122.13"
"BGR","","ALL","1990","119.47"
"BGR","","ALL","1991","109.31"
"BGR","","ALL","1992","124.58"
"BGR","","ALL","1993","122.27"
"BGR","","ALL","1994","130.2"
"BGR","","ALL","1995","124.09"
"BGR","","ALL","1996","118.15"
"BGR","","ALL","1997","111.86"
"BGR","","ALL","1998","81.76"
"BGR","","ALL","1999","73.61"
"BGR","","ALL","2000","74.96"
"BGR","","ALL","2001","72.15"
"BGR","","ALL","2002","70.03"
"BGR","","ALL","2003","66.11"
"BGR","","ALL","2004","66.86"
"BGR","","ALL","2005","69.99"
"BGR","","ALL","2006","67.68"
"BGR","","ALL","2007","68.21"
"BGR","","ALL","2008","70.32"
"BGR","","ALL","2009","62.92"
"BGR","","ALL","2010","56.96"
"BGR","","ALL","2011","54.46"
"BGR","","ALL","2012","58.51"
"BGR","","ALL","2013","54.51"
"BGR","","ALL","2014","57.62"
"BGR","","ALL","2015","58.11"
"BGR","","ALL","2016","55.78"
"BGR","","ALL","2017","54.02"
"BGR","","ALL","2018","53.88"
"BGR","","ALL","2019","56.26"
"BGR","","ALL","2020","55.21"
"BGR","","ALL","2021","55.1"
"BIH","","ALL","1985","85.11"
"BIH","","ALL","1986","81.23"
"BIH","","ALL","1987","90.61"
"BIH","","ALL","1988","88.41"
"BIH","","ALL","1989","86.13"
"BIH","","ALL","1990","79.8"
"BIH","","ALL","1991","83.56"
"BIH","","ALL","2011","42.27"
"BIH","","ALL","2014","38.82"
"BIH","","ALL","2016","40.87"
"BIH","","ALL","2021","34.96"
"BIH","","ALL","2022","32.83"
"BLR","","ALL","1991","124.21"
"BLR","","ALL","1992","135.54"
"BLR","","ALL","1993","148.63"
"BLR","","ALL","1994","156.34"
"BLR","","ALL","1995","165.54"
"BLR","","ALL","1996","170.6"
"BLR","","ALL","1997","173.78"
"BLR","","ALL","1998","185.98"
"BLR","","ALL","1999","190.79"
"BLR","","ALL","2000","177.15"
"BLR","","ALL","2001","187.85"
"BLR","","ALL","2018","100.01"
"","CARINFONET","ALL","1991","160.78"
"","CARINFONET","ALL","1992","151.46"
"","CARINFONET","ALL","1993","184.12"
"","CARINFONET","ALL","1994","157.32"
