"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"ALB","","ALL","1987","446.04"
"ALB","","ALL","1988","449.42"
"ALB","","ALL","1989","453.58"
"ALB","","ALL","1992","383.94"
"ALB","","ALL","1993","349.98"
"ALB","","ALL","1994","315.4"
"ALB","","ALL","1995","392.04"
"ALB","","ALL","1996","426.19"
"ALB","","ALL","1997","380.55"
"ALB","","ALL","1998","427.69"
"ALB","","ALL","1999","391.16"
"ALB","","ALL","2000","475.42"
"ALB","","ALL","2001","366.41"
"ALB","","ALL","2002","397.94"
"ALB","","ALL","2003","439.85"
"ALB","","ALL","2004","417.7"
"ALB","","ALL","2005","392.64"
"ALB","","ALL","2006","373.62"
"ALB","","ALL","2007","318.96"
"ALB","","ALL","2008","372.42"
"ALB","","ALL","2009","353.18"
"ARM","","ALL","1981","435.22"
"ARM","","ALL","1982","486.16"
"ARM","","ALL","1985","518.28"
"ARM","","ALL","1986","512.09"
"ARM","","ALL","1987","519.98"
"ARM","","ALL","1988","537.46"
"ARM","","ALL","1989","565.96"
"ARM","","ALL","1990","567.23"
"ARM","","ALL","1991","561.14"
"ARM","","ALL","1992","602.15"
"ARM","","ALL","1993","639.26"
"ARM","","ALL","1994","548.34"
"ARM","","ALL","1995","563.34"
"ARM","","ALL","1996","544.63"
"ARM","","ALL","1997","502.92"
"ARM","","ALL","1998","469.14"
"ARM","","ALL","1999","479.38"
"ARM","","ALL","2000","443.71"
"ARM","","ALL","2001","439.9"
"ARM","","ALL","2002","621.65"
"ARM","","ALL","2003","626.73"
"ARM","","ALL","2008","548.97"
"ARM","","ALL","2012","432.44"
"ARM","","ALL","2013","414.61"
"ARM","","ALL","2014","421.8"
"ARM","","ALL","2015","400.7"
"ARM","","ALL","2016","413.94"
"ARM","","ALL","2017","453.34"
"ARM","","ALL","2018","420.49"
"ARM","","ALL","2019","411.74"
"ARM","","ALL","2022","403.9"
"AUT","","ALL","1969","559.59"
"AUT","","ALL","1970","559.17"
"AUT","","ALL","1971","561.86"
"AUT","","ALL","1972","548.14"
"AUT","","ALL","1973","520.79"
"AUT","","ALL","1974","528.05"
"AUT","","ALL","1975","538.4"
"AUT","","ALL","1976","538.93"
"AUT","","ALL","1977","517.56"
"AUT","","ALL","1978","532.09"
"AUT","","ALL","1979","503.76"
"AUT","","ALL","1980","515.19"
"AUT","","ALL","1981","509.8"
"AUT","","ALL","1982","496.39"
"AUT","","ALL","1983","509.24"
"AUT","","ALL","1984","471.25"
"AUT","","ALL","1985","472.4"
"AUT","","ALL","1986","455.09"
"AUT","","ALL","1987","431.87"
"AUT","","ALL","1988","419.44"
"AUT","","ALL","1989","408.19"
"AUT","","ALL","1990","392.52"
"AUT","","ALL","1991","399.71"
"AUT","","ALL","1992","394.09"
"AUT","","ALL","1993","388.13"
"AUT","","ALL","1994","373.56"
"AUT","","ALL","1995","373.1"
"AUT","","ALL","1996","371.66"
"AUT","","ALL","1997","361.53"
"AUT","","ALL","1998","353.11"
"AUT","","ALL","1999","344.38"
"AUT","","ALL","2000","321.68"
"AUT","","ALL","2001","304.23"
"AUT","","ALL","2002","287.89"
"AUT","","ALL","2003","272.14"
"AUT","","ALL","2004","249.63"
"AUT","","ALL","2005","241.57"
"AUT","","ALL","2006","230.99"
"AUT","","ALL","2007","224.86"
"AUT","","ALL","2008","212.92"
"AUT","","ALL","2009","213.51"
"AUT","","ALL","2010","207.07"
"AUT","","ALL","2011","196.78"
"AUT","","ALL","2012","199.9"
"AUT","","ALL","2013","197.92"
"AUT","","ALL","2014","187.53"
"AUT","","ALL","2015","196.54"
"AUT","","ALL","2016","181.58"
"AUT","","ALL","2017","177.55"
"AUT","","ALL","2018","173.97"
"AUT","","ALL","2019","168.52"
"AUT","","ALL","2020","167.75"
"AUT","","ALL","2021","160.32"
"AZE","","ALL","1981","571.48"
"AZE","","ALL","1982","577.32"
"AZE","","ALL","1985","609.12"
"AZE","","ALL","1986","591.53"
"AZE","","ALL","1987","624.99"
"AZE","","ALL","1988","651.74"
"AZE","","ALL","1989","573.01"
"AZE","","ALL","1990","565.37"
"AZE","","ALL","1991","588.74"
"AZE","","ALL","1992","611.82"
"AZE","","ALL","1993","646.86"
"AZE","","ALL","1994","628.9"
"AZE","","ALL","1995","646.39"
"AZE","","ALL","1996","614.86"
"AZE","","ALL","1997","599.81"
"AZE","","ALL","1998","600.08"
"AZE","","ALL","1999","615.49"
"AZE","","ALL","2000","656.26"
"AZE","","ALL","2001","609.89"
"AZE","","ALL","2002","626.54"
"AZE","","ALL","2003","645.03"
"AZE","","ALL","2004","633.77"
"AZE","","ALL","2007","551.57"
"BEL","","ALL","1968","543.61"
"BEL","","ALL","1969","507.53"
"BEL","","ALL","1970","495.9"
"BEL","","ALL","1971","493.26"
"BEL","","ALL","1972","476.23"
"BEL","","ALL","1973","462.33"
"BEL","","ALL","1974","457.2"
"BEL","","ALL","1975","458.18"
"BEL","","ALL","1976","444.79"
"BEL","","ALL","1977","412.05"
"BEL","","ALL","1978","412.92"
"BEL","","ALL","1979","405.66"
"BEL","","ALL","1980","414.12"
"BEL","","ALL","1981","409.91"
"BEL","","ALL","1982","401.89"
"BEL","","ALL","1983","401.75"
"BEL","","ALL","1984","375.34"
"BEL","","ALL","1985","360.3"
"BEL","","ALL","1986","341.54"
"BEL","","ALL","1987","317.59"
"BEL","","ALL","1988","304.59"
"BEL","","ALL","1989","298.17"
"BEL","","ALL","1990","284.76"
"BEL","","ALL","1991","276.07"
"BEL","","ALL","1992","267.7"
"BEL","","ALL","1993","277.09"
"BEL","","ALL","1994","262.4"
"BEL","","ALL","1995","258.05"
"BEL","","ALL","1996","254.79"
"BEL","","ALL","1997","246.37"
"BEL","","ALL","1998","238.71"
"BEL","","ALL","1999","232.66"
"BEL","","ALL","2000","234.79"
"BEL","","ALL","2001","222.9"
"BEL","","ALL","2002","224.31"
"BEL","","ALL","2003","221.5"
"BEL","","ALL","2004","207.63"
"BEL","","ALL","2005","198.22"
"BEL","","ALL","2006","182.72"
"BEL","","ALL","2007","177.91"
"BEL","","ALL","2008","172.44"
"BEL","","ALL","2009","164.7"
"BEL","","ALL","2010","159.44"
"BEL","","ALL","2011","149.24"
"BEL","","ALL","2012","146.61"
"BEL","","ALL","2013","142.15"
"BEL","","ALL","2014","132.71"
"BEL","","ALL","2015","135.83"
"BEL","","ALL","2016","127.25"
"BEL","","ALL","2017","124.29"
"BEL","","ALL","2018","117.68"
"BEL","","ALL","2019","108.92"
"BEL","","ALL","2020","104.63"
"BGR","","ALL","1968","521.09"
"BGR","","ALL","1969","564.05"
"BGR","","ALL","1970","559.05"
"BGR","","ALL","1971","581.7"
"BGR","","ALL","1972","607.81"
"BGR","","ALL","1973","595.19"
"BGR","","ALL","1974","617.83"
"BGR","","ALL","1975","610.08"
"BGR","","ALL","1976","606.57"
"BGR","","ALL","1977","641"
"BGR","","ALL","1978","634.46"
"BGR","","ALL","1979","640.84"
"BGR","","ALL","1980","637.97"
"BGR","","ALL","1981","629.12"
"BGR","","ALL","1982","654.32"
"BGR","","ALL","1983","660.43"
"BGR","","ALL","1984","665.42"
"BGR","","ALL","1985","726.06"
"BGR","","ALL","1986","726.97"
"BGR","","ALL","1987","714.35"
"BGR","","ALL","1988","702.36"
"BGR","","ALL","1989","694.33"
"BGR","","ALL","1990","691.38"
"BGR","","ALL","1991","699.24"
"BGR","","ALL","1992","677.88"
"BGR","","ALL","1993","705.75"
"BGR","","ALL","1994","706.41"
"BGR","","ALL","1995","725.58"
"BGR","","ALL","1996","748.55"
"BGR","","ALL","1997","814.1"
"BGR","","ALL","1998","813.14"
"BGR","","ALL","1999","718.83"
"BGR","","ALL","2000","737.07"
"BGR","","ALL","2001","710.47"
"BGR","","ALL","2002","722.9"
"BGR","","ALL","2003","713.01"
"BGR","","ALL","2004","685.35"
"BGR","","ALL","2005","677.39"
"BGR","","ALL","2006","665.64"
"BGR","","ALL","2007","645.73"
