"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"ALB","","ALL","1987","115"
"ALB","","ALL","1988","127.61"
"ALB","","ALL","1989","119.65"
"ALB","","ALL","1992","95.3"
"ALB","","ALL","1993","84.72"
"ALB","","ALL","1994","76.8"
"ALB","","ALL","1995","102.98"
"ALB","","ALL","1996","115.02"
"ALB","","ALL","1997","108.33"
"ALB","","ALL","1998","114.22"
"ALB","","ALL","1999","118.59"
"ALB","","ALL","2000","124.57"
"ALB","","ALL","2001","97.09"
"ALB","","ALL","2002","109.74"
"ALB","","ALL","2003","121.14"
"ALB","","ALL","2004","114.88"
"ALB","","ALL","2005","105.35"
"ALB","","ALL","2006","103"
"ALB","","ALL","2007","88.28"
"ALB","","ALL","2008","97.01"
"ALB","","ALL","2009","91.04"
"ARM","","ALL","1981","125.99"
"ARM","","ALL","1982","127.81"
"ARM","","ALL","1985","135.83"
"ARM","","ALL","1986","129.62"
"ARM","","ALL","1987","140.69"
"ARM","","ALL","1988","141.95"
"ARM","","ALL","1989","144.57"
"ARM","","ALL","1990","155.79"
"ARM","","ALL","1991","145.23"
"ARM","","ALL","1992","140.02"
"ARM","","ALL","1993","131.65"
"ARM","","ALL","1994","114.81"
"ARM","","ALL","1995","121.43"
"ARM","","ALL","1996","129.13"
"ARM","","ALL","1997","125.02"
"ARM","","ALL","1998","128.88"
"ARM","","ALL","1999","132.93"
"ARM","","ALL","2000","126.66"
"ARM","","ALL","2001","130.76"
"ARM","","ALL","2002","156.62"
"ARM","","ALL","2003","159.24"
"ARM","","ALL","2008","161.22"
"ARM","","ALL","2012","188.01"
"ARM","","ALL","2013","184.11"
"ARM","","ALL","2014","185.75"
"ARM","","ALL","2015","195.43"
"ARM","","ALL","2016","180.12"
"ARM","","ALL","2017","173.79"
"ARM","","ALL","2018","161.45"
"ARM","","ALL","2019","165.52"
"ARM","","ALL","2022","149.68"
"AUT","","ALL","1969","226.13"
"AUT","","ALL","1970","228.32"
"AUT","","ALL","1971","225.72"
"AUT","","ALL","1972","222.2"
"AUT","","ALL","1973","221.15"
"AUT","","ALL","1974","222.37"
"AUT","","ALL","1975","216.67"
"AUT","","ALL","1976","216.78"
"AUT","","ALL","1977","214.25"
"AUT","","ALL","1978","211.91"
"AUT","","ALL","1979","210.3"
"AUT","","ALL","1980","213.1"
"AUT","","ALL","1981","209.89"
"AUT","","ALL","1982","209.01"
"AUT","","ALL","1983","206"
"AUT","","ALL","1984","210.06"
"AUT","","ALL","1985","203.1"
"AUT","","ALL","1986","201.65"
"AUT","","ALL","1987","204.25"
"AUT","","ALL","1988","201.93"
"AUT","","ALL","1989","201.38"
"AUT","","ALL","1990","201.26"
"AUT","","ALL","1991","200.39"
"AUT","","ALL","1992","199.69"
"AUT","","ALL","1993","200.23"
"AUT","","ALL","1994","193.13"
"AUT","","ALL","1995","191.23"
"AUT","","ALL","1996","187.07"
"AUT","","ALL","1997","185.1"
"AUT","","ALL","1998","181"
"AUT","","ALL","1999","179.27"
"AUT","","ALL","2000","176.93"
"AUT","","ALL","2001","171.81"
"AUT","","ALL","2002","170.4"
"AUT","","ALL","2003","173.01"
"AUT","","ALL","2004","171.25"
"AUT","","ALL","2005","166.25"
"AUT","","ALL","2006","162.36"
"AUT","","ALL","2007","159.2"
"AUT","","ALL","2008","161.84"
"AUT","","ALL","2009","158.29"
"AUT","","ALL","2010","155.87"
"AUT","","ALL","2011","155"
"AUT","","ALL","2012","154.66"
"AUT","","ALL","2013","150.23"
"AUT","","ALL","2014","150.9"
"AUT","","ALL","2015","146.45"
"AUT","","ALL","2016","143.07"
"AUT","","ALL","2017","140.52"
"AUT","","ALL","2018","140.11"
"AUT","","ALL","2019","136.33"
"AUT","","ALL","2020","136.07"
"AUT","","ALL","2021","132.42"
"AZE","","ALL","1981","141.46"
"AZE","","ALL","1982","145.96"
"AZE","","ALL","1985","139.34"
"AZE","","ALL","1986","148.39"
"AZE","","ALL","1987","146.62"
"AZE","","ALL","1988","143.87"
"AZE","","ALL","1989","130.36"
"AZE","","ALL","1990","120.62"
"AZE","","ALL","1991","116.49"
"AZE","","ALL","1992","119.78"
"AZE","","ALL","1993","114.86"
"AZE","","ALL","1994","113.87"
"AZE","","ALL","1995","106.93"
"AZE","","ALL","1996","104.77"
"AZE","","ALL","1997","107.01"
"AZE","","ALL","1998","106.12"
"AZE","","ALL","1999","113.12"
"AZE","","ALL","2000","105.44"
"AZE","","ALL","2001","110.39"
"AZE","","ALL","2002","115.08"
"AZE","","ALL","2003","122.62"
"AZE","","ALL","2004","113.97"
"AZE","","ALL","2007","87.39"
"BEL","","ALL","1968","224.61"
"BEL","","ALL","1969","223.26"
"BEL","","ALL","1970","222.23"
"BEL","","ALL","1971","226.2"
"BEL","","ALL","1972","225.09"
"BEL","","ALL","1973","225.58"
"BEL","","ALL","1974","223.6"
"BEL","","ALL","1975","226.41"
"BEL","","ALL","1976","224.23"
"BEL","","ALL","1977","226.47"
"BEL","","ALL","1978","236.93"
"BEL","","ALL","1979","231.2"
"BEL","","ALL","1980","232.48"
"BEL","","ALL","1981","235.21"
"BEL","","ALL","1982","230.84"
"BEL","","ALL","1983","231.36"
"BEL","","ALL","1984","229.65"
"BEL","","ALL","1985","227.7"
"BEL","","ALL","1986","224.44"
"BEL","","ALL","1987","221.52"
"BEL","","ALL","1988","223.33"
"BEL","","ALL","1989","220.68"
"BEL","","ALL","1990","215.24"
"BEL","","ALL","1991","214.05"
"BEL","","ALL","1992","214.49"
"BEL","","ALL","1993","214.42"
