"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"ALB","","FEMALE","1987","75.07"
"ALB","","FEMALE","1988","75.52"
"ALB","","FEMALE","1989","75.04"
"ALB","","FEMALE","1990","75.86"
"ALB","","FEMALE","1992","76.85"
"ALB","","FEMALE","1993","77.26"
"ALB","","FEMALE","1994","79.44"
"ALB","","FEMALE","1995","78.47"
"ALB","","FEMALE","1996","78.38"
"ALB","","FEMALE","1997","79.77"
"ALB","","FEMALE","1998","78.88"
"ALB","","FEMALE","1999","79.67"
"ALB","","FEMALE","2000","78.24"
"ALB","","FEMALE","2001","80.45"
"ALB","","FEMALE","2002","79.2"
"ALB","","FEMALE","2003","78.41"
"ALB","","FEMALE","2004","78.93"
"ALB","","FEMALE","2005","79.44"
"ALB","","FEMALE","2006","80.03"
"ALB","","FEMALE","2007","82.29"
"ALB","","FEMALE","2008","81.54"
"ALB","","FEMALE","2009","81.85"
"AND","","FEMALE","2006","84.2"
"ARM","","FEMALE","1970","75.8"
"ARM","","FEMALE","1971","77.4"
"ARM","","FEMALE","1972","76.2"
"ARM","","FEMALE","1973","76.1"
"ARM","","FEMALE","1974","76.4"
"ARM","","FEMALE","1975","75.4"
"ARM","","FEMALE","1976","75.4"
"ARM","","FEMALE","1977","75.9"
"ARM","","FEMALE","1978","75.5"
"ARM","","FEMALE","1979","75.4"
"ARM","","FEMALE","1980","75.8"
"ARM","","FEMALE","1981","76.85"
"ARM","","FEMALE","1982","76.28"
"ARM","","FEMALE","1983","75.5"
"ARM","","FEMALE","1984","75.5"
"ARM","","FEMALE","1985","74.93"
"ARM","","FEMALE","1986","75.52"
"ARM","","FEMALE","1987","75.38"
"ARM","","FEMALE","1988","60.95"
"ARM","","FEMALE","1989","75.06"
"ARM","","FEMALE","1990","75.43"
"ARM","","FEMALE","1991","75.85"
"ARM","","FEMALE","1992","75.02"
"ARM","","FEMALE","1993","74.63"
"ARM","","FEMALE","1994","76.43"
"ARM","","FEMALE","1995","76.2"
"ARM","","FEMALE","1996","76.23"
"ARM","","FEMALE","1997","76.8"
"ARM","","FEMALE","1998","77.32"
"ARM","","FEMALE","1999","77.15"
"ARM","","FEMALE","2000","78.11"
"ARM","","FEMALE","2001","78.28"
"ARM","","FEMALE","2002","75.7"
"ARM","","FEMALE","2003","75.93"
"ARM","","FEMALE","2008","76.81"
"ARM","","FEMALE","2009","76.91"
"ARM","","FEMALE","2012","77.8"
"ARM","","FEMALE","2013","78.18"
"ARM","","FEMALE","2014","78.27"
"ARM","","FEMALE","2015","78.33"
"ARM","","FEMALE","2017","79.08"
"ARM","","FEMALE","2018","79.61"
"ARM","","FEMALE","2019","79.85"
"AUT","","FEMALE","1969","73.27"
"AUT","","FEMALE","1970","73.4"
"AUT","","FEMALE","1971","73.69"
"AUT","","FEMALE","1972","74.06"
"AUT","","FEMALE","1973","74.6"
"AUT","","FEMALE","1974","74.72"
"AUT","","FEMALE","1975","74.75"
"AUT","","FEMALE","1976","75.09"
"AUT","","FEMALE","1977","75.53"
"AUT","","FEMALE","1978","75.72"
"AUT","","FEMALE","1979","76.05"
"AUT","","FEMALE","1980","76.16"
"AUT","","FEMALE","1981","76.49"
"AUT","","FEMALE","1982","76.72"
"AUT","","FEMALE","1983","76.64"
"AUT","","FEMALE","1984","77.32"
