"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"ALB","","MALE","1987","69.49"
"ALB","","MALE","1988","69.77"
"ALB","","MALE","1989","69.15"
"ALB","","MALE","1990","69.64"
"ALB","","MALE","1992","69.81"
"ALB","","MALE","1993","70.33"
"ALB","","MALE","1994","72.1"
"ALB","","MALE","1995","71.68"
"ALB","","MALE","1996","71.41"
"ALB","","MALE","1997","71.06"
"ALB","","MALE","1998","71.71"
"ALB","","MALE","1999","72.99"
"ALB","","MALE","2000","72.22"
"ALB","","MALE","2001","74.12"
"ALB","","MALE","2002","73.75"
"ALB","","MALE","2003","73.31"
"ALB","","MALE","2004","73.72"
"ALB","","MALE","2005","74.39"
"ALB","","MALE","2006","75.42"
"ALB","","MALE","2007","77.18"
"ALB","","MALE","2008","76.4"
"ALB","","MALE","2009","77.48"
"AND","","MALE","2006","77.4"
"ARM","","MALE","1970","69.9"
"ARM","","MALE","1971","70.7"
"ARM","","MALE","1972","69.9"
"ARM","","MALE","1973","70.2"
"ARM","","MALE","1974","70.1"
"ARM","","MALE","1975","69.4"
"ARM","","MALE","1976","69.6"
"ARM","","MALE","1977","69.7"
"ARM","","MALE","1978","69.4"
"ARM","","MALE","1979","69.3"
"ARM","","MALE","1980","69.6"
"ARM","","MALE","1981","70.4"
"ARM","","MALE","1982","70.12"
"ARM","","MALE","1983","69.8"
"ARM","","MALE","1984","69.4"
"ARM","","MALE","1985","69.87"
"ARM","","MALE","1986","70.37"
"ARM","","MALE","1987","70.45"
"ARM","","MALE","1988","60.73"
"ARM","","MALE","1989","69.22"
"ARM","","MALE","1990","68.55"
"ARM","","MALE","1991","69.11"
"ARM","","MALE","1992","67.92"
"ARM","","MALE","1993","67.58"
"ARM","","MALE","1994","68.57"
"ARM","","MALE","1995","69.68"
"ARM","","MALE","1996","70.1"
"ARM","","MALE","1997","71.3"
"ARM","","MALE","1998","72.51"
"ARM","","MALE","1999","72.55"
"ARM","","MALE","2000","73.45"
"ARM","","MALE","2001","73.69"
"ARM","","MALE","2002","69.86"
"ARM","","MALE","2003","70.03"
"ARM","","MALE","2008","70.35"
"ARM","","MALE","2009","70.59"
"ARM","","MALE","2012","71.31"
"ARM","","MALE","2013","71.97"
"ARM","","MALE","2014","71.85"
"ARM","","MALE","2015","71.76"
"ARM","","MALE","2017","72.56"
"ARM","","MALE","2018","73.37"
"ARM","","MALE","2019","73.26"
"AUT","","MALE","1969","66.43"
"AUT","","MALE","1970","66.37"
"AUT","","MALE","1971","66.61"
"AUT","","MALE","1972","66.88"
"AUT","","MALE","1973","67.41"
