"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"ALB","","FEMALE","1987","37.85"
"ALB","","FEMALE","1988","41.04"
"ALB","","FEMALE","1989","43.39"
"ALB","","FEMALE","1992","44.88"
"ALB","","FEMALE","1993","36.82"
"ALB","","FEMALE","1994","38.84"
"ALB","","FEMALE","1995","52.14"
"ALB","","FEMALE","1996","53.57"
"ALB","","FEMALE","1997","55.24"
"ALB","","FEMALE","1998","61.59"
"ALB","","FEMALE","1999","61.71"
"ALB","","FEMALE","2000","81.91"
"ALB","","FEMALE","2001","61.27"
"ALB","","FEMALE","2002","78.13"
"ALB","","FEMALE","2003","93.55"
"ALB","","FEMALE","2004","89.6"
"ALB","","FEMALE","2005","82.26"
"ALB","","FEMALE","2006","80.63"
"ALB","","FEMALE","2007","65.06"
"ALB","","FEMALE","2008","95.97"
"ALB","","FEMALE","2009","90.06"
"ARM","","FEMALE","1981","262.85"
"ARM","","FEMALE","1982","275.06"
"ARM","","FEMALE","1985","291.12"
"ARM","","FEMALE","1986","287.1"
"ARM","","FEMALE","1987","291.34"
"ARM","","FEMALE","1988","291.2"
"ARM","","FEMALE","1989","309.79"
"ARM","","FEMALE","1990","307.02"
"ARM","","FEMALE","1991","307.44"
"ARM","","FEMALE","1992","340.99"
"ARM","","FEMALE","1993","345.97"
"ARM","","FEMALE","1994","297.56"
"ARM","","FEMALE","1995","306.34"
"ARM","","FEMALE","1996","298.69"
"ARM","","FEMALE","1997","287.27"
"ARM","","FEMALE","1998","274.85"
"ARM","","FEMALE","1999","281.79"
"ARM","","FEMALE","2000","251.48"
"ARM","","FEMALE","2001","231.9"
"ARM","","FEMALE","2002","315.52"
"ARM","","FEMALE","2003","311.76"
"ARM","","FEMALE","2008","260.31"
"ARM","","FEMALE","2012","211.43"
"ARM","","FEMALE","2013","213.48"
"ARM","","FEMALE","2014","210.4"
"ARM","","FEMALE","2015","197.41"
"ARM","","FEMALE","2016","206.14"
"ARM","","FEMALE","2017","186.17"
"ARM","","FEMALE","2018","143.25"
"ARM","","FEMALE","2019","141.52"
"ARM","","FEMALE","2022","154.02"
"AUT","","FEMALE","1969","152.38"
"AUT","","FEMALE","1970","158.33"
"AUT","","FEMALE","1971","163.86"
"AUT","","FEMALE","1972","161.84"
"AUT","","FEMALE","1973","157.15"
"AUT","","FEMALE","1974","164.77"
"AUT","","FEMALE","1975","171.49"
"AUT","","FEMALE","1976","172.64"
"AUT","","FEMALE","1977","173.65"
"AUT","","FEMALE","1978","178.42"
"AUT","","FEMALE","1979","170.87"
"AUT","","FEMALE","1980","102.97"
"AUT","","FEMALE","1981","107.28"
"AUT","","FEMALE","1982","106.4"
"AUT","","FEMALE","1983","111.91"
"AUT","","FEMALE","1984","106.71"
"AUT","","FEMALE","1985","109.9"
"AUT","","FEMALE","1986","106.87"
"AUT","","FEMALE","1987","106.28"
"AUT","","FEMALE","1988","103.82"
"AUT","","FEMALE","1989","104.94"
"AUT","","FEMALE","1990","109.89"
"AUT","","FEMALE","1991","115.11"
"AUT","","FEMALE","1992","111.12"
"AUT","","FEMALE","1993","110.79"
"AUT","","FEMALE","1994","107.72"
"AUT","","FEMALE","1995","108.52"
"AUT","","FEMALE","1996","108.04"
"AUT","","FEMALE","1997","104.78"
"AUT","","FEMALE","1998","107.3"
"AUT","","FEMALE","1999","105.71"
"AUT","","FEMALE","2000","96.37"
"AUT","","FEMALE","2001","93.27"
"AUT","","FEMALE","2002","98.87"
"AUT","","FEMALE","2003","96.32"
"AUT","","FEMALE","2004","89.88"
"AUT","","FEMALE","2005","85.99"
"AUT","","FEMALE","2006","80.95"
"AUT","","FEMALE","2007","77.15"
"AUT","","FEMALE","2008","73.1"
"AUT","","FEMALE","2009","72.67"
"AUT","","FEMALE","2010","68.88"
"AUT","","FEMALE","2011","65.28"
"AUT","","FEMALE","2012","67.78"
"AUT","","FEMALE","2013","63.69"
"AUT","","FEMALE","2014","59.96"
"AUT","","FEMALE","2015","61.72"
"AUT","","FEMALE","2016","57.44"
"AUT","","FEMALE","2017","56.2"
"AUT","","FEMALE","2018","53.93"
"AUT","","FEMALE","2019","50.42"
"AUT","","FEMALE","2020","49.89"
"AUT","","FEMALE","2021","45.05"
"AZE","","FEMALE","1981","264.45"
"AZE","","FEMALE","1982","271.18"
"AZE","","FEMALE","1985","287.63"
"AZE","","FEMALE","1986","286.91"
"AZE","","FEMALE","1987","304.38"
"AZE","","FEMALE","1988","321.25"
"AZE","","FEMALE","1989","290.3"
"AZE","","FEMALE","1990","301.73"
"AZE","","FEMALE","1991","324.35"
"AZE","","FEMALE","1992","354.37"
"AZE","","FEMALE","1993","370.51"
"AZE","","FEMALE","1994","302.62"
"AZE","","FEMALE","1995","338.65"
"AZE","","FEMALE","1996","321.93"
"AZE","","FEMALE","1997","314.36"
"AZE","","FEMALE","1998","313.73"
"AZE","","FEMALE","1999","319.89"
"AZE","","FEMALE","2000","355.12"
"AZE","","FEMALE","2001","335.8"
"AZE","","FEMALE","2002","350.47"
"AZE","","FEMALE","2003","327.93"
"AZE","","FEMALE","2004","207.13"
"AZE","","FEMALE","2007","93.16"
"BEL","","FEMALE","1968","98.07"
"BEL","","FEMALE","1969","107.86"
"BEL","","FEMALE","1970","106.64"
"BEL","","FEMALE","1971","106.69"
"BEL","","FEMALE","1972","104.75"
"BEL","","FEMALE","1973","103.22"
"BEL","","FEMALE","1974","101.03"
"BEL","","FEMALE","1975","99.47"
"BEL","","FEMALE","1976","98.11"
"BEL","","FEMALE","1977","91.18"
"BEL","","FEMALE","1978","96.66"
"BEL","","FEMALE","1979","81.36"
"BEL","","FEMALE","1980","81.37"
"BEL","","FEMALE","1981","80.57"
"BEL","","FEMALE","1982","80.2"
"BEL","","FEMALE","1983","80.32"
"BEL","","FEMALE","1984","77.48"
"BEL","","FEMALE","1985","75.16"
"BEL","","FEMALE","1986","70.68"
"BEL","","FEMALE","1987","67.73"
"BEL","","FEMALE","1988","63.18"
"BEL","","FEMALE","1989","59.44"
"BEL","","FEMALE","1990","54.99"
"BEL","","FEMALE","1991","56.09"
"BEL","","FEMALE","1992","51.89"
"BEL","","FEMALE","1993","60.43"
"BEL","","FEMALE","1994","57.66"
"BEL","","FEMALE","1995","56.01"
"BEL","","FEMALE","1996","55.1"
"BEL","","FEMALE","1997","52.85"
"BEL","","FEMALE","1998","58.51"
"BEL","","FEMALE","1999","53"
"BEL","","FEMALE","2000","55.18"
"BEL","","FEMALE","2001","51.31"
"BEL","","FEMALE","2002","51.58"
"BEL","","FEMALE","2003","51"
"BEL","","FEMALE","2004","46.85"
"BEL","","FEMALE","2005","44.46"
"BEL","","FEMALE","2006","38.18"
"BEL","","FEMALE","2007","37.42"
"BEL","","FEMALE","2008","34.87"
"BEL","","FEMALE","2009","32.24"
"BEL","","FEMALE","2010","31.12"
"BEL","","FEMALE","2011","28.36"
"BEL","","FEMALE","2012","26.08"
"BEL","","FEMALE","2013","24.85"
"BEL","","FEMALE","2014","22.94"
"BEL","","FEMALE","2015","23.24"
"BEL","","FEMALE","2016","21.19"
"BEL","","FEMALE","2017","20.76"
"BEL","","FEMALE","2018","19.38"
"BEL","","FEMALE","2019","18.08"
"BEL","","FEMALE","2020","16.03"
"BGR","","FEMALE","1968","168.79"
"BGR","","FEMALE","1969","195.52"
"BGR","","FEMALE","1970","201.98"
"BGR","","FEMALE","1971","211.05"
"BGR","","FEMALE","1972","216.3"
"BGR","","FEMALE","1973","222.03"
"BGR","","FEMALE","1974","238.95"
"BGR","","FEMALE","1975","221.41"
"BGR","","FEMALE","1976","222.69"
"BGR","","FEMALE","1977","233.79"
"BGR","","FEMALE","1978","214.5"
"BGR","","FEMALE","1979","195.87"
"BGR","","FEMALE","1980","142.18"
"BGR","","FEMALE","1981","139.35"
"BGR","","FEMALE","1982","162.25"
"BGR","","FEMALE","1983","157.93"
"BGR","","FEMALE","1984","171.03"
"BGR","","FEMALE","1985","200.55"
"BGR","","FEMALE","1986","198.72"
"BGR","","FEMALE","1987","175.44"
"BGR","","FEMALE","1988","172.82"
"BGR","","FEMALE","1989","175.53"
"BGR","","FEMALE","1990","179.99"
"BGR","","FEMALE","1991","182.6"
"BGR","","FEMALE","1992","168.82"
"BGR","","FEMALE","1993","180.09"
"BGR","","FEMALE","1994","175.97"
"BGR","","FEMALE","1995","174.79"
"BGR","","FEMALE","1996","170.88"
"BGR","","FEMALE","1997","181.61"
"BGR","","FEMALE","1998","179.57"
"BGR","","FEMALE","1999","159.35"
"BGR","","FEMALE","2000","148.89"
"BGR","","FEMALE","2001","145.37"
"BGR","","FEMALE","2002","150.39"
"BGR","","FEMALE","2003","137.92"
"BGR","","FEMALE","2004","127.49"
"BGR","","FEMALE","2005","117.31"
"BGR","","FEMALE","2006","104.14"
"BGR","","FEMALE","2007","93.8"
"BGR","","FEMALE","2008","87.64"
"BGR","","FEMALE","2009","81.69"
"BGR","","FEMALE","2010","80.8"
"BGR","","FEMALE","2011","74.03"
"BGR","","FEMALE","2012","81.44"
"BGR","","FEMALE","2013","71.22"
"BGR","","FEMALE","2014","71.96"
"BGR","","FEMALE","2015","72.43"
"BGR","","FEMALE","2016","67.57"
"BGR","","FEMALE","2017","71.18"
"BGR","","FEMALE","2018","66.2"
"BGR","","FEMALE","2019","70.07"
"BGR","","FEMALE","2020","81.13"
"BGR","","FEMALE","2021","87.42"
"BIH","","FEMALE","1985","61.95"
"BIH","","FEMALE","1986","61.7"
"BIH","","FEMALE","1987","67.78"
"BIH","","FEMALE","1988","69.77"
"BIH","","FEMALE","1989","73.06"
"BIH","","FEMALE","1990","68.47"
"BIH","","FEMALE","1991","70.91"
"BIH","","FEMALE","2011","54.77"
"BIH","","FEMALE","2014","64.03"
"BIH","","FEMALE","2016","78.11"
"BIH","","FEMALE","2021","49.39"
"BIH","","FEMALE","2022","65.71"
"BLR","","FEMALE","1981","325.06"
"BLR","","FEMALE","1982","324.68"
"BLR","","FEMALE","1985","378.59"
"BLR","","FEMALE","1986","338.15"
"BLR","","FEMALE","1987","337.07"
"BLR","","FEMALE","1988","322.59"
"BLR","","FEMALE","1989","290.49"
"BLR","","FEMALE","1990","262.19"
"BLR","","FEMALE","1991","246.5"
"BLR","","FEMALE","1992","245.29"
"BLR","","FEMALE","1993","282.34"
"BLR","","FEMALE","1994","288.81"
"BLR","","FEMALE","1995","286.48"
"BLR","","FEMALE","1996","420.28"
"BLR","","FEMALE","1997","294.07"
"BLR","","FEMALE","1998","302.8"
"BLR","","FEMALE","1999","338.94"
"BLR","","FEMALE","2000","320.37"
"BLR","","FEMALE","2001","338.41"
"BLR","","FEMALE","2002","333.26"
"BLR","","FEMALE","2003","324.78"
"BLR","","FEMALE","2004","307.42"
"BLR","","FEMALE","2007","276.16"
"BLR","","FEMALE","2008","275.17"
"BLR","","FEMALE","2009","283.65"
"BLR","","FEMALE","2010","287.06"
"BLR","","FEMALE","2011","263.58"
"BLR","","FEMALE","2013","255.63"
"BLR","","FEMALE","2014","257.97"
"BLR","","FEMALE","2018","251.45"
"","CARINFONET","FEMALE","1981","272.28"
"","CARINFONET","FEMALE","1982","272.97"
"","CARINFONET","FEMALE","1985","290.99"
"","CARINFONET","FEMALE","1986","275.91"
"","CARINFONET","FEMALE","1987","268.37"
"","CARINFONET","FEMALE","1988","287.58"
"","CARINFONET","FEMALE","1989","290.82"
"","CARINFONET","FEMALE","1990","277.36"
"","CARINFONET","FEMALE","1991","287.15"
"","CARINFONET","FEMALE","1992","301.34"
"","CARINFONET","FEMALE","1993","339.25"
"","CARINFONET","FEMALE","1994","358.45"
"","CARINFONET","FEMALE","1995","355.39"
"","CARINFONET","FEMALE","1996","351.88"
"","CARINFONET","FEMALE","1997","327.45"
"","CARINFONET","FEMALE","1998","337.5"
"","CARINFONET","FEMALE","1999","320.82"
"","CARINFONET","FEMALE","2000","329.73"
"","CARINFONET","FEMALE","2001","323.22"
"","CARINFONET","FEMALE","2002","329.97"
"","CARINFONET","FEMALE","2003","320.81"
"","CARINFONET","FEMALE","2004","290.46"
"","CARINFONET","FEMALE","2005","295.88"
"","CARINFONET","FEMALE","2006","287.9"
"","CARINFONET","FEMALE","2007","284.25"
"","CARINFONET","FEMALE","2008","273.2"
"","CARINFONET","FEMALE","2009","244.06"
"","CARINFONET","FEMALE","2010","238.47"
"","CARINFONET","FEMALE","2011","233.2"
"","CARINFONET","FEMALE","2012","225.28"
"","CARINFONET","FEMALE","2013","216.25"
"","CARINFONET","FEMALE","2014","199.97"
"","CARINFONET","FEMALE","2015","190.43"
"","CARINFONET","FEMALE","2016","178.1"
"CHE","","FEMALE","1969","69.12"
"CHE","","FEMALE","1970","70.76"
"CHE","","FEMALE","1971","71.07"
"CHE","","FEMALE","1972","68.27"
"CHE","","FEMALE","1973","68.78"
"CHE","","FEMALE","1974","68.6"
"CHE","","FEMALE","1975","67.05"
"CHE","","FEMALE","1976","68.59"
"CHE","","FEMALE","1977","73.13"
"CHE","","FEMALE","1978","75.25"
"CHE","","FEMALE","1979","74.89"
"CHE","","FEMALE","1980","73.44"
"CHE","","FEMALE","1981","75.89"
"CHE","","FEMALE","1982","74.31"
"CHE","","FEMALE","1983","71.76"
"CHE","","FEMALE","1984","70.4"
"CHE","","FEMALE","1985","70.28"
"CHE","","FEMALE","1986","69.65"
"CHE","","FEMALE","1987","69.41"
"CHE","","FEMALE","1988","71"
"CHE","","FEMALE","1989","70.13"
"CHE","","FEMALE","1990","70.84"
"CHE","","FEMALE","1991","67.92"
"CHE","","FEMALE","1992","69.94"
"CHE","","FEMALE","1993","68.37"
"CHE","","FEMALE","1994","67.86"
"CHE","","FEMALE","1995","71.32"
"CHE","","FEMALE","1996","70.86"
"CHE","","FEMALE","1997","69.9"
"CHE","","FEMALE","1998","69.36"
"CHE","","FEMALE","1999","68.09"
"CHE","","FEMALE","2000","64.79"
"CHE","","FEMALE","2001","60.62"
"CHE","","FEMALE","2002","58.39"
"CHE","","FEMALE","2003","56.93"
"CHE","","FEMALE","2004","51.31"
"CHE","","FEMALE","2005","49.96"
"CHE","","FEMALE","2006","47.45"
"CHE","","FEMALE","2007","45.42"
"CHE","","FEMALE","2008","43.44"
"CHE","","FEMALE","2009","40.52"
"CHE","","FEMALE","2010","38.41"
"CHE","","FEMALE","2011","34.21"
"CHE","","FEMALE","2012","35.32"
"CHE","","FEMALE","2013","33.35"
"CHE","","FEMALE","2015","29.36"
"CHE","","FEMALE","2016","27.32"
"CHE","","FEMALE","2017","27.31"
"CHE","","FEMALE","2018","25.58"
"CHE","","FEMALE","2019","24.9"
"","CIS","FEMALE","1981","323.77"
"","CIS","FEMALE","1982","312.91"
"","CIS","FEMALE","1985","336.76"
"","CIS","FEMALE","1986","301.74"
"","CIS","FEMALE","1987","297.58"
"","CIS","FEMALE","1988","291.09"
"","CIS","FEMALE","1989","271.42"
"","CIS","FEMALE","1990","259.15"
"","CIS","FEMALE","1991","257.18"
"","CIS","FEMALE","1992","262.92"
"","CIS","FEMALE","1993","303.3"
"","CIS","FEMALE","1994","317.81"
"","CIS","FEMALE","1995","310.93"
"","CIS","FEMALE","1996","309.55"
"","CIS","FEMALE","1997","297.75"
"","CIS","FEMALE","1998","294.74"
"","CIS","FEMALE","1999","305.33"
"","CIS","FEMALE","2000","311.95"
"","CIS","FEMALE","2001","310.07"
"","CIS","FEMALE","2002","320.09"
"","CIS","FEMALE","2003","326.83"
"","CIS","FEMALE","2004","306.19"
"","CIS","FEMALE","2006","297.5"
"","CIS","FEMALE","2007","292.48"
"","CIS","FEMALE","2008","293.49"
"","CIS","FEMALE","2009","279.62"
"","CIS","FEMALE","2010","277.87"
"","CIS","FEMALE","2011","260.32"
"","CIS","FEMALE","2012","252.16"
"","CIS","FEMALE","2013","239.75"
"","CIS","FEMALE","2014","227.37"
"","CIS","FEMALE","2015","216.04"
"CYP","","FEMALE","2004","45.21"
"CYP","","FEMALE","2005","48.98"
"CYP","","FEMALE","2006","48.23"
"CYP","","FEMALE","2007","51.08"
"CYP","","FEMALE","2008","43.09"
"CYP","","FEMALE","2009","35.41"
"CYP","","FEMALE","2010","33.66"
"CYP","","FEMALE","2011","42.6"
"CYP","","FEMALE","2012","34.55"
"CYP","","FEMALE","2013","31.41"
"CYP","","FEMALE","2014","34.07"
"CYP","","FEMALE","2015","36.91"
"CYP","","FEMALE","2016","29.07"
"CYP","","FEMALE","2017","28.09"
"CYP","","FEMALE","2018","26.72"
"CYP","","FEMALE","2019","24.42"
"CYP","","FEMALE","2020","30.01"
"CYP","","FEMALE","2021","21.03"
"CZE","","FEMALE","1970","226.51"
"CZE","","FEMALE","1971","234.11"
"CZE","","FEMALE","1972","221.54"
"CZE","","FEMALE","1973","231.9"
"CZE","","FEMALE","1974","228.43"
"CZE","","FEMALE","1975","227.97"
"CZE","","FEMALE","1976","222.6"
"CZE","","FEMALE","1977","223.93"
"CZE","","FEMALE","1978","213.15"
"CZE","","FEMALE","1979","208.51"
"CZE","","FEMALE","1980","218.7"
"CZE","","FEMALE","1981","213.74"
"CZE","","FEMALE","1982","222.66"
"CZE","","FEMALE","1983","237.41"
"CZE","","FEMALE","1984","231.93"
"CZE","","FEMALE","1985","224.07"
"CZE","","FEMALE","1986","233.01"
"CZE","","FEMALE","1987","210.96"
"CZE","","FEMALE","1988","206.13"
"CZE","","FEMALE","1989","220.61"
"CZE","","FEMALE","1990","219.87"
"CZE","","FEMALE","1991","215.98"
"CZE","","FEMALE","1992","199.48"
"CZE","","FEMALE","1993","201.03"
"CZE","","FEMALE","1994","195.21"
"CZE","","FEMALE","1995","191.91"
"CZE","","FEMALE","1996","174.22"
"CZE","","FEMALE","1997","160.45"
"CZE","","FEMALE","1998","143.49"
"CZE","","FEMALE","1999","146.89"
"CZE","","FEMALE","2000","136.97"
"CZE","","FEMALE","2001","134.78"
"CZE","","FEMALE","2002","133.85"
"CZE","","FEMALE","2003","132.4"
"CZE","","FEMALE","2004","122.6"
"CZE","","FEMALE","2005","137.88"
"CZE","","FEMALE","2006","129.15"
"CZE","","FEMALE","2007","145.8"
"CZE","","FEMALE","2008","137.39"
"CZE","","FEMALE","2009","133.58"
"CZE","","FEMALE","2010","123.22"
"CZE","","FEMALE","2011","128.43"
"CZE","","FEMALE","2012","126.15"
"CZE","","FEMALE","2013","127.97"
"CZE","","FEMALE","2014","114.74"
"CZE","","FEMALE","2015","116.21"
"CZE","","FEMALE","2016","97.94"
"CZE","","FEMALE","2017","100.39"
"CZE","","FEMALE","2018","91.62"
