"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"ALB","","MALE","1987","95.73"
"ALB","","MALE","1988","94.2"
"ALB","","MALE","1989","106.6"
"ALB","","MALE","1992","107.86"
"ALB","","MALE","1993","101.57"
"ALB","","MALE","1994","89.14"
"ALB","","MALE","1995","116.33"
"ALB","","MALE","1996","132.35"
"ALB","","MALE","1997","120.32"
"ALB","","MALE","1998","131.71"
"ALB","","MALE","1999","131.2"
"ALB","","MALE","2000","141.14"
"ALB","","MALE","2001","114.62"
"ALB","","MALE","2002","142.79"
"ALB","","MALE","2003","167.71"
"ALB","","MALE","2004","156.48"
"ALB","","MALE","2005","144.31"
"ALB","","MALE","2006","133.27"
"ALB","","MALE","2007","118.5"
"ALB","","MALE","2008","143.94"
"ALB","","MALE","2009","138.59"
"ARM","","MALE","1981","355.54"
"ARM","","MALE","1982","393.43"
"ARM","","MALE","1985","389.5"
"ARM","","MALE","1986","401.95"
"ARM","","MALE","1987","414.74"
"ARM","","MALE","1988","431.01"
"ARM","","MALE","1989","442.72"
"ARM","","MALE","1990","462.8"
"ARM","","MALE","1991","464.39"
"ARM","","MALE","1992","495.39"
"ARM","","MALE","1993","495.72"
"ARM","","MALE","1994","423.32"
"ARM","","MALE","1995","443.71"
"ARM","","MALE","1996","422.07"
"ARM","","MALE","1997","400.66"
"ARM","","MALE","1998","375.67"
"ARM","","MALE","1999","381.85"
"ARM","","MALE","2000","349.2"
"ARM","","MALE","2001","345.86"
"ARM","","MALE","2002","476.76"
"ARM","","MALE","2003","490.78"
"ARM","","MALE","2008","417.08"
"ARM","","MALE","2012","351.76"
"ARM","","MALE","2013","346.04"
"ARM","","MALE","2014","354.5"
"ARM","","MALE","2015","330.34"
"ARM","","MALE","2016","337.91"
"ARM","","MALE","2017","304.86"
"ARM","","MALE","2018","250.53"
"ARM","","MALE","2019","251.04"
"ARM","","MALE","2022","271.37"
"AUT","","MALE","1969","266.62"
"AUT","","MALE","1970","276.99"
"AUT","","MALE","1971","283.96"
"AUT","","MALE","1972","286.77"
"AUT","","MALE","1973","275.08"
"AUT","","MALE","1974","290.89"
"AUT","","MALE","1975","302.95"
"AUT","","MALE","1976","308.48"
"AUT","","MALE","1977","303.79"
"AUT","","MALE","1978","315.05"
"AUT","","MALE","1979","309.78"
"AUT","","MALE","1980","228.71"
"AUT","","MALE","1981","247.31"
"AUT","","MALE","1982","246.71"
"AUT","","MALE","1983","254.4"
"AUT","","MALE","1984","240.06"
"AUT","","MALE","1985","240.9"
"AUT","","MALE","1986","233.72"
"AUT","","MALE","1987","228.8"
"AUT","","MALE","1988","220.65"
"AUT","","MALE","1989","225.49"
"AUT","","MALE","1990","223.51"
"AUT","","MALE","1991","226.52"
"AUT","","MALE","1992","223"
"AUT","","MALE","1993","219.45"
"AUT","","MALE","1994","214.91"
"AUT","","MALE","1995","216.16"
"AUT","","MALE","1996","211.86"
"AUT","","MALE","1997","215"
"AUT","","MALE","1998","211.98"
"AUT","","MALE","1999","201.68"
"AUT","","MALE","2000","188.84"
"AUT","","MALE","2001","176.54"
"AUT","","MALE","2002","175.04"
"AUT","","MALE","2003","163.17"
"AUT","","MALE","2004","153.07"
"AUT","","MALE","2005","147.66"
"AUT","","MALE","2006","146.07"
