"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"ALB","","FEMALE","1987","36.97"
"ALB","","FEMALE","1988","36.59"
"ALB","","FEMALE","1989","35.61"
"ALB","","FEMALE","1992","36.18"
"ALB","","FEMALE","1993","42.44"
"ALB","","FEMALE","1994","30.09"
"ALB","","FEMALE","1995","33.94"
"ALB","","FEMALE","1996","30.99"
"ALB","","FEMALE","1997","44.09"
"ALB","","FEMALE","1998","22.58"
"ALB","","FEMALE","1999","23.79"
"ALB","","FEMALE","2000","23.1"
"ALB","","FEMALE","2001","21.42"
"ALB","","FEMALE","2002","22.77"
"ALB","","FEMALE","2003","22.25"
"ALB","","FEMALE","2004","22.91"
"ALB","","FEMALE","2005","26.84"
"ALB","","FEMALE","2006","21.47"
"ALB","","FEMALE","2007","22.6"
"ALB","","FEMALE","2008","22.42"
"ALB","","FEMALE","2009","18.41"
"ARM","","FEMALE","1991","41.85"
"ARM","","FEMALE","1992","42.96"
"ARM","","FEMALE","1993","43.86"
"ARM","","FEMALE","1994","34.2"
"ARM","","FEMALE","1995","36.97"
"ARM","","FEMALE","1996","35.93"
"ARM","","FEMALE","1997","34.95"
"ARM","","FEMALE","1998","33.28"
"ARM","","FEMALE","1999","31.43"
"ARM","","FEMALE","2000","28.23"
"ARM","","FEMALE","2001","27.07"
"ARM","","FEMALE","2002","30.51"
"ARM","","FEMALE","2003","29.69"
"ARM","","FEMALE","2012","41.38"
"ARM","","FEMALE","2013","46.3"
"ARM","","FEMALE","2014","42.93"
"ARM","","FEMALE","2015","42.05"
"ARM","","FEMALE","2016","43.85"
"ARM","","FEMALE","2017","36.62"
"ARM","","FEMALE","2018","27.88"
"ARM","","FEMALE","2019","24.21"
"ARM","","FEMALE","2022","23.35"
"AUT","","FEMALE","1980","82.35"
"AUT","","FEMALE","1981","77.25"
"AUT","","FEMALE","1982","77.3"
"AUT","","FEMALE","1983","82.43"
"AUT","","FEMALE","1984","73.51"
"AUT","","FEMALE","1985","72.58"
"AUT","","FEMALE","1986","69.53"
"AUT","","FEMALE","1987","68.61"
"AUT","","FEMALE","1988","67"
"AUT","","FEMALE","1989","64.96"
"AUT","","FEMALE","1990","62.39"
"AUT","","FEMALE","1991","59.9"
"AUT","","FEMALE","1992","59.7"
"AUT","","FEMALE","1993","57.61"
"AUT","","FEMALE","1994","55.37"
"AUT","","FEMALE","1995","51.97"
"AUT","","FEMALE","1996","51.62"
"AUT","","FEMALE","1997","47.24"
"AUT","","FEMALE","1998","44.77"
"AUT","","FEMALE","1999","38.56"
"AUT","","FEMALE","2000","38.93"
"AUT","","FEMALE","2001","37.49"
"AUT","","FEMALE","2002","35.77"
"AUT","","FEMALE","2003","37.37"
"AUT","","FEMALE","2004","34.46"
"AUT","","FEMALE","2005","34.33"
"AUT","","FEMALE","2006","31.97"
"AUT","","FEMALE","2007","32.21"
"AUT","","FEMALE","2008","30.96"
"AUT","","FEMALE","2009","31.78"
"AUT","","FEMALE","2010","30.05"
"AUT","","FEMALE","2011","30.33"
"AUT","","FEMALE","2012","30.52"
"AUT","","FEMALE","2013","29.12"
"AUT","","FEMALE","2014","29.05"
"AUT","","FEMALE","2015","30.32"
"AUT","","FEMALE","2016","29.6"
"AUT","","FEMALE","2017","28.01"
"AUT","","FEMALE","2018","27.95"
"AUT","","FEMALE","2019","28.77"
"AUT","","FEMALE","2020","30.01"
"AUT","","FEMALE","2021","29.27"
"AZE","","FEMALE","1991","52.22"
"AZE","","FEMALE","1992","68.63"
"AZE","","FEMALE","1993","61.71"
"AZE","","FEMALE","1994","62.53"
"AZE","","FEMALE","1995","66.34"
"AZE","","FEMALE","1996","62.84"
"AZE","","FEMALE","1997","61.67"
"AZE","","FEMALE","1998","61.55"
"AZE","","FEMALE","1999","60.75"
"AZE","","FEMALE","2000","60.42"
"AZE","","FEMALE","2007","27.08"
"BEL","","FEMALE","1979","84.97"
"BEL","","FEMALE","1980","87.12"
"BEL","","FEMALE","1981","82.94"
"BEL","","FEMALE","1982","80.42"
"BEL","","FEMALE","1983","82.31"
"BEL","","FEMALE","1984","71.42"
"BEL","","FEMALE","1985","67.3"
"BEL","","FEMALE","1986","69.2"
"BEL","","FEMALE","1987","66.03"
"BEL","","FEMALE","1988","63"
"BEL","","FEMALE","1989","61.46"
"BEL","","FEMALE","1990","59.95"
"BEL","","FEMALE","1991","57.3"
"BEL","","FEMALE","1992","57.18"
"BEL","","FEMALE","1993","46.21"
"BEL","","FEMALE","1994","47.91"
"BEL","","FEMALE","1995","44.26"
"BEL","","FEMALE","1996","43.6"
"BEL","","FEMALE","1997","44.1"
"BEL","","FEMALE","1998","47.19"
"BEL","","FEMALE","1999","43.31"
"BEL","","FEMALE","2000","45.81"
"BEL","","FEMALE","2001","45.58"
"BEL","","FEMALE","2002","43.66"
"BEL","","FEMALE","2003","42.17"
"BEL","","FEMALE","2004","39.82"
"BEL","","FEMALE","2005","41.09"
"BEL","","FEMALE","2006","40.17"
"BEL","","FEMALE","2007","39.79"
"BEL","","FEMALE","2008","40.24"
"BEL","","FEMALE","2009","40.96"
"BEL","","FEMALE","2010","40.48"
"BEL","","FEMALE","2011","40.1"
"BEL","","FEMALE","2012","40.09"
"BEL","","FEMALE","2013","39.31"
"BEL","","FEMALE","2014","37.5"
"BEL","","FEMALE","2015","39.85"
"BEL","","FEMALE","2016","36.75"
"BEL","","FEMALE","2017","36.69"
"BEL","","FEMALE","2018","38.78"
"BEL","","FEMALE","2019","36.73"
"BEL","","FEMALE","2020","35.66"
"BGR","","FEMALE","1980","51.57"
"BGR","","FEMALE","1981","49.82"
"BGR","","FEMALE","1982","53.1"
"BGR","","FEMALE","1983","50.44"
"BGR","","FEMALE","1984","51.37"
"BGR","","FEMALE","1985","51.52"
"BGR","","FEMALE","1986","51.32"
"BGR","","FEMALE","1987","50.5"
"BGR","","FEMALE","1988","51.26"
"BGR","","FEMALE","1989","52.48"
"BGR","","FEMALE","1990","49.22"
"BGR","","FEMALE","1991","50.64"
"BGR","","FEMALE","1992","52.59"
"BGR","","FEMALE","1993","48.01"
"BGR","","FEMALE","1994","52.5"
"BGR","","FEMALE","1995","49.19"
"BGR","","FEMALE","1996","47.85"
"BGR","","FEMALE","1997","48.98"
"BGR","","FEMALE","1998","33.6"
"BGR","","FEMALE","1999","31.34"
"BGR","","FEMALE","2000","32.28"
"BGR","","FEMALE","2001","29.42"
"BGR","","FEMALE","2002","29.95"
"BGR","","FEMALE","2003","27.6"
"BGR","","FEMALE","2004","27.05"
"BGR","","FEMALE","2005","27.24"
"BGR","","FEMALE","2006","26.81"
"BGR","","FEMALE","2007","27.56"
"BGR","","FEMALE","2008","26.27"
"BGR","","FEMALE","2009","24.51"
"BGR","","FEMALE","2010","22.47"
"BGR","","FEMALE","2011","20.36"
"BGR","","FEMALE","2012","22.5"
"BGR","","FEMALE","2013","20.05"
"BGR","","FEMALE","2014","22.63"
"BGR","","FEMALE","2015","22.58"
"BGR","","FEMALE","2016","22"
"BGR","","FEMALE","2017","22.36"
"BGR","","FEMALE","2018","22.35"
"BGR","","FEMALE","2019","22.02"
"BGR","","FEMALE","2020","21.52"
"BGR","","FEMALE","2021","21.5"
"BIH","","FEMALE","1985","38.78"
"BIH","","FEMALE","1986","43.01"
"BIH","","FEMALE","1987","46.2"
"BIH","","FEMALE","1988","41.46"
"BIH","","FEMALE","1989","38.68"
"BIH","","FEMALE","1990","34.49"
"BIH","","FEMALE","1991","34.61"
"BIH","","FEMALE","2011","15.25"
"BIH","","FEMALE","2014","15.09"
"BIH","","FEMALE","2016","17.5"
"BIH","","FEMALE","2021","13.4"
"BIH","","FEMALE","2022","12.88"
"BLR","","FEMALE","1991","52.06"
"BLR","","FEMALE","1992","52.59"
"BLR","","FEMALE","1993","58.3"
"BLR","","FEMALE","1994","59.7"
"BLR","","FEMALE","1995","66.14"
"BLR","","FEMALE","1996","65.94"
"BLR","","FEMALE","1997","71.17"
"BLR","","FEMALE","1998","74.46"
"BLR","","FEMALE","1999","75.89"
"BLR","","FEMALE","2000","71.77"
"BLR","","FEMALE","2001","74.21"
"BLR","","FEMALE","2018","41.17"
"","CARINFONET","FEMALE","1991","88.18"
"","CARINFONET","FEMALE","1992","84.52"
"","CARINFONET","FEMALE","1993","92.95"
"","CARINFONET","FEMALE","1994","90.34"
"","CARINFONET","FEMALE","1995","90.93"
"","CARINFONET","FEMALE","1996","92.28"
"","CARINFONET","FEMALE","1997","89.18"
"","CARINFONET","FEMALE","1998","86.32"
"","CARINFONET","FEMALE","1999","79.95"
"","CARINFONET","FEMALE","2000","81.88"
"","CARINFONET","FEMALE","2001","84.76"
"","CARINFONET","FEMALE","2002","85.37"
"","CARINFONET","FEMALE","2003","84.46"
"","CARINFONET","FEMALE","2004","85.39"
"","CARINFONET","FEMALE","2005","85.03"
"","CARINFONET","FEMALE","2013","68.42"
"","CARINFONET","FEMALE","2014","64.83"
"","CARINFONET","FEMALE","2015","63.78"
"","CARINFONET","FEMALE","2016","58.32"
"CHE","","FEMALE","1995","35.37"
"CHE","","FEMALE","1996","34.25"
"CHE","","FEMALE","1997","32.51"
"CHE","","FEMALE","1998","31.77"
"CHE","","FEMALE","1999","32.34"
"CHE","","FEMALE","2000","32.73"
"CHE","","FEMALE","2001","32.68"
"CHE","","FEMALE","2002","32.95"
"CHE","","FEMALE","2003","32.89"
"CHE","","FEMALE","2004","30.49"
"CHE","","FEMALE","2005","29.87"
"CHE","","FEMALE","2006","32.21"
"CHE","","FEMALE","2007","31.67"
"CHE","","FEMALE","2008","30.77"
"CHE","","FEMALE","2009","27.65"
"CHE","","FEMALE","2010","27.26"
"CHE","","FEMALE","2011","26.8"
"CHE","","FEMALE","2012","27.26"
"CHE","","FEMALE","2013","27.49"
"CHE","","FEMALE","2015","25.46"
"CHE","","FEMALE","2016","24.27"
"CHE","","FEMALE","2017","24.05"
"CHE","","FEMALE","2018","26.85"
"CHE","","FEMALE","2019","23.99"
"","CIS","FEMALE","1991","73.23"
"","CIS","FEMALE","1992","73.13"
"","CIS","FEMALE","1993","77.35"
"","CIS","FEMALE","1994","78.9"
"","CIS","FEMALE","1995","83.33"
"","CIS","FEMALE","1996","81.72"
"","CIS","FEMALE","1997","78.98"
"","CIS","FEMALE","1998","75.32"
"","CIS","FEMALE","1999","72.72"
"","CIS","FEMALE","2000","74.43"
"","CIS","FEMALE","2001","76.74"
"","CIS","FEMALE","2002","77.92"
"","CIS","FEMALE","2003","77.62"
"CYP","","FEMALE","2004","25.29"
"CYP","","FEMALE","2005","40.18"
"CYP","","FEMALE","2006","25.51"
"CYP","","FEMALE","2007","21.55"
"CYP","","FEMALE","2008","21.66"
"CYP","","FEMALE","2009","21.38"
"CYP","","FEMALE","2010","20.49"
"CYP","","FEMALE","2011","16.3"
"CYP","","FEMALE","2012","18.15"
"CYP","","FEMALE","2013","17.29"
"CYP","","FEMALE","2014","24.08"
"CYP","","FEMALE","2015","20.42"
"CYP","","FEMALE","2016","17.38"
"CYP","","FEMALE","2017","19.03"
"CYP","","FEMALE","2018","23.74"
"CYP","","FEMALE","2019","23.47"
"CYP","","FEMALE","2020","21.66"
"CYP","","FEMALE","2021","22.29"
"CZE","","FEMALE","1986","81.48"
"CZE","","FEMALE","1987","81.04"
"CZE","","FEMALE","1988","78.17"
"CZE","","FEMALE","1989","79.07"
"CZE","","FEMALE","1990","78.68"
"CZE","","FEMALE","1991","78.91"
"CZE","","FEMALE","1992","75.15"
"CZE","","FEMALE","1993","73.11"
"CZE","","FEMALE","1994","60.18"
"CZE","","FEMALE","1995","57.9"
"CZE","","FEMALE","1996","52.05"
"CZE","","FEMALE","1997","50.62"
"CZE","","FEMALE","1998","46.3"
"CZE","","FEMALE","1999","44.32"
"CZE","","FEMALE","2000","44.9"
"CZE","","FEMALE","2001","44.09"
"CZE","","FEMALE","2002","43.58"
"CZE","","FEMALE","2003","46.93"
"CZE","","FEMALE","2004","44.92"
"CZE","","FEMALE","2005","41.22"
"CZE","","FEMALE","2006","36.72"
"CZE","","FEMALE","2007","37.98"
"CZE","","FEMALE","2008","37.64"
"CZE","","FEMALE","2009","35.28"
"CZE","","FEMALE","2010","34.72"
"CZE","","FEMALE","2011","34.61"
"CZE","","FEMALE","2012","33.51"
"CZE","","FEMALE","2013","32.77"
"CZE","","FEMALE","2014","33.32"
"CZE","","FEMALE","2015","32.92"
"CZE","","FEMALE","2016","32.54"
"CZE","","FEMALE","2017","32.06"
"CZE","","FEMALE","2018","33.42"
"CZE","","FEMALE","2019","33.34"
"CZE","","FEMALE","2020","32.16"
"CZE","","FEMALE","2021","33.44"
"DEU","","FEMALE","1990","56.81"
"DEU","","FEMALE","1991","57.25"
"DEU","","FEMALE","1992","54.68"
"DEU","","FEMALE","1993","52.33"
"DEU","","FEMALE","1994","49.74"
"DEU","","FEMALE","1995","48.06"
"DEU","","FEMALE","1996","46.76"
"DEU","","FEMALE","1997","44.3"
"DEU","","FEMALE","1998","35.46"
"DEU","","FEMALE","1999","35.35"
"DEU","","FEMALE","2000","34.69"
"DEU","","FEMALE","2001","33.74"
"DEU","","FEMALE","2002","34.07"
"DEU","","FEMALE","2003","33.28"
"DEU","","FEMALE","2004","31.46"
"DEU","","FEMALE","2005","31.09"
"DEU","","FEMALE","2006","29.8"
"DEU","","FEMALE","2007","27.9"
"DEU","","FEMALE","2008","28.6"
"DEU","","FEMALE","2009","27.7"
"DEU","","FEMALE","2010","28.68"
"DEU","","FEMALE","2011","27.7"
"DEU","","FEMALE","2012","27.29"
"DEU","","FEMALE","2013","28.45"
"DEU","","FEMALE","2014","27.45"
"DEU","","FEMALE","2015","28.44"
"DEU","","FEMALE","2016","28.6"
"DEU","","FEMALE","2017","28.41"
"DEU","","FEMALE","2018","29.01"
"DEU","","FEMALE","2019","27.94"
"DEU","","FEMALE","2020","28.45"
"DNK","","FEMALE","1994","52.89"
"DNK","","FEMALE","1995","54.24"
"DNK","","FEMALE","1996","47.5"
"DNK","","FEMALE","1997","52.62"
"DNK","","FEMALE","1998","48.91"
"DNK","","FEMALE","1999","51.94"
"DNK","","FEMALE","2000","48.91"
"DNK","","FEMALE","2001","45.33"
"DNK","","FEMALE","2002","39.59"
"DNK","","FEMALE","2003","40.33"
"DNK","","FEMALE","2004","41.73"
"DNK","","FEMALE","2005","39.74"
"DNK","","FEMALE","2006","43.05"
"DNK","","FEMALE","2007","41.26"
"DNK","","FEMALE","2008","40.56"
"DNK","","FEMALE","2009","34.72"
"DNK","","FEMALE","2010","34.23"
"DNK","","FEMALE","2011","33.29"
"DNK","","FEMALE","2012","32.55"
"DNK","","FEMALE","2013","31.25"
"DNK","","FEMALE","2014","29.27"
"DNK","","FEMALE","2015","27.61"
"DNK","","FEMALE","2016","30.28"
"DNK","","FEMALE","2017","27.32"
"DNK","","FEMALE","2018","27.04"
"DNK","","FEMALE","2019","28.79"
"DNK","","FEMALE","2020","28.25"
"DNK","","FEMALE","2021","25.18"
"ESP","","FEMALE","1980","50.67"
"ESP","","FEMALE","1981","49.42"
"ESP","","FEMALE","1982","47.06"
"ESP","","FEMALE","1983","48.63"
"ESP","","FEMALE","1984","45.51"
"ESP","","FEMALE","1985","44.01"
"ESP","","FEMALE","1986","45.56"
"ESP","","FEMALE","1987","48.06"
"ESP","","FEMALE","1988","47.86"
"ESP","","FEMALE","1989","49.37"
"ESP","","FEMALE","1990","47.45"
"ESP","","FEMALE","1991","45.15"
"ESP","","FEMALE","1992","41.45"
"ESP","","FEMALE","1993","39.39"
"ESP","","FEMALE","1994","37.27"
"ESP","","FEMALE","1995","38.12"
"ESP","","FEMALE","1996","37.73"
"ESP","","FEMALE","1997","25.8"
"ESP","","FEMALE","1998","26.05"
"ESP","","FEMALE","1999","25.55"
"ESP","","FEMALE","2000","24.43"
"ESP","","FEMALE","2001","23.07"
"ESP","","FEMALE","2002","22.8"
"ESP","","FEMALE","2003","23.35"
"ESP","","FEMALE","2004","23.51"
"ESP","","FEMALE","2005","21.73"
"ESP","","FEMALE","2006","20.49"
"ESP","","FEMALE","2007","20.28"
"ESP","","FEMALE","2008","19.19"
"ESP","","FEMALE","2009","18.45"
"ESP","","FEMALE","2010","17.69"
"ESP","","FEMALE","2011","17.69"
"ESP","","FEMALE","2012","16.37"
"ESP","","FEMALE","2013","17.35"
"ESP","","FEMALE","2014","17.16"
"ESP","","FEMALE","2015","17.19"
"ESP","","FEMALE","2016","16.81"
"ESP","","FEMALE","2017","17.25"
"ESP","","FEMALE","2018","16.56"
"ESP","","FEMALE","2019","16.06"
"ESP","","FEMALE","2020","16.06"
"ESP","","FEMALE","2021","16.75"
"EST","","FEMALE","1989","58.05"
"EST","","FEMALE","1990","58.56"
"EST","","FEMALE","1991","63.41"
"EST","","FEMALE","1992","63.53"
"EST","","FEMALE","1993","77.8"
"EST","","FEMALE","1994","113.92"
"EST","","FEMALE","1995","88.67"
"EST","","FEMALE","1996","71.95"
"EST","","FEMALE","1997","71.02"
"EST","","FEMALE","1998","76.08"
"EST","","FEMALE","1999","71.26"
"EST","","FEMALE","2000","68.67"
"EST","","FEMALE","2001","82.97"
"EST","","FEMALE","2002","68.98"
"EST","","FEMALE","2003","69.01"
"EST","","FEMALE","2004","61.68"
"EST","","FEMALE","2005","67.5"
"EST","","FEMALE","2006","63.06"
"EST","","FEMALE","2007","61.93"
"EST","","FEMALE","2008","55.6"
"EST","","FEMALE","2009","47.44"
"EST","","FEMALE","2010","44.71"
"EST","","FEMALE","2011","41.84"
"EST","","FEMALE","2012","43.99"
