"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"ALB","","MALE","1987","93.88"
"ALB","","MALE","1988","101.73"
"ALB","","MALE","1989","107.31"
"ALB","","MALE","1992","118.34"
"ALB","","MALE","1993","134.46"
"ALB","","MALE","1994","96.25"
"ALB","","MALE","1995","122.11"
"ALB","","MALE","1996","128.37"
"ALB","","MALE","1997","186.65"
"ALB","","MALE","1998","101.84"
"ALB","","MALE","1999","96.18"
"ALB","","MALE","2000","81.04"
"ALB","","MALE","2001","78.88"
"ALB","","MALE","2002","75.45"
"ALB","","MALE","2003","75.12"
"ALB","","MALE","2004","70.66"
"ALB","","MALE","2005","85.31"
"ALB","","MALE","2006","69.21"
"ALB","","MALE","2007","66.33"
"ALB","","MALE","2008","68.02"
"ALB","","MALE","2009","65.13"
"ARM","","MALE","1991","124.87"
"ARM","","MALE","1992","152.8"
"ARM","","MALE","1993","161"
"ARM","","MALE","1994","182.61"
"ARM","","MALE","1995","135.96"
"ARM","","MALE","1996","126.67"
"ARM","","MALE","1997","113.75"
"ARM","","MALE","1998","101.42"
"ARM","","MALE","1999","87.92"
"ARM","","MALE","2000","86.44"
"ARM","","MALE","2001","89.89"
"ARM","","MALE","2002","98.06"
"ARM","","MALE","2003","92.68"
"ARM","","MALE","2012","125.54"
"ARM","","MALE","2013","116.02"
"ARM","","MALE","2014","111.68"
"ARM","","MALE","2015","120.91"
"ARM","","MALE","2016","128.36"
"ARM","","MALE","2017","106.55"
"ARM","","MALE","2018","87.53"
"ARM","","MALE","2019","89.69"
"ARM","","MALE","2022","94.88"
"AUT","","MALE","1980","248.3"
"AUT","","MALE","1981","244.42"
"AUT","","MALE","1982","244.21"
"AUT","","MALE","1983","243.46"
"AUT","","MALE","1984","238.65"
"AUT","","MALE","1985","221.49"
"AUT","","MALE","1986","211"
"AUT","","MALE","1987","203.66"
"AUT","","MALE","1988","198.77"
"AUT","","MALE","1989","201.56"
"AUT","","MALE","1990","195.73"
"AUT","","MALE","1991","195.77"
"AUT","","MALE","1992","180.42"
"AUT","","MALE","1993","179.7"
"AUT","","MALE","1994","183.89"
"AUT","","MALE","1995","175.89"
"AUT","","MALE","1996","165.68"
"AUT","","MALE","1997","158.64"
"AUT","","MALE","1998","148"
"AUT","","MALE","1999","119.42"
"AUT","","MALE","2000","119.12"
"AUT","","MALE","2001","115.11"
"AUT","","MALE","2002","116.46"
"AUT","","MALE","2003","115.38"
"AUT","","MALE","2004","110.46"
"AUT","","MALE","2005","109.98"
"AUT","","MALE","2006","101.81"
"AUT","","MALE","2007","101.63"
"AUT","","MALE","2008","97.67"
"AUT","","MALE","2009","100.27"
"AUT","","MALE","2010","94.87"
"AUT","","MALE","2011","90.52"
"AUT","","MALE","2012","93.78"
"AUT","","MALE","2013","88.86"
"AUT","","MALE","2014","85.16"
"AUT","","MALE","2015","87.49"
"AUT","","MALE","2016","81.69"
"AUT","","MALE","2017","82.04"
"AUT","","MALE","2018","82.07"
"AUT","","MALE","2019","80.82"
"AUT","","MALE","2020","83"
"AUT","","MALE","2021","84.37"
"AZE","","MALE","1991","137.31"
"AZE","","MALE","1992","233.68"
"AZE","","MALE","1993","200.81"
"AZE","","MALE","1994","231.43"
"AZE","","MALE","1995","150.05"
"AZE","","MALE","1996","138.06"
"AZE","","MALE","1997","131.2"
"AZE","","MALE","1998","119.24"
"AZE","","MALE","1999","112.49"
"AZE","","MALE","2000","112.03"
"AZE","","MALE","2007","66.79"
"BEL","","MALE","1979","182"
"BEL","","MALE","1980","188.11"
"BEL","","MALE","1981","181.24"
"BEL","","MALE","1982","178.63"
"BEL","","MALE","1983","172.88"
"BEL","","MALE","1984","165.24"
"BEL","","MALE","1985","153.21"
"BEL","","MALE","1986","161.16"
"BEL","","MALE","1987","155.26"
"BEL","","MALE","1988","150.21"
"BEL","","MALE","1989","148.46"
"BEL","","MALE","1990","148.16"
"BEL","","MALE","1991","149.39"
"BEL","","MALE","1992","142.47"
"BEL","","MALE","1993","116.19"
"BEL","","MALE","1994","118.16"
"BEL","","MALE","1995","111.58"
"BEL","","MALE","1996","108.24"
"BEL","","MALE","1997","110.43"
"BEL","","MALE","1998","108.67"
"BEL","","MALE","1999","107.89"
"BEL","","MALE","2000","111.37"
"BEL","","MALE","2001","111.3"
"BEL","","MALE","2002","105.17"
"BEL","","MALE","2003","100.68"
"BEL","","MALE","2004","100.54"
"BEL","","MALE","2005","98.71"
"BEL","","MALE","2006","96.04"
"BEL","","MALE","2007","95.91"
"BEL","","MALE","2008","97.55"
"BEL","","MALE","2009","96.18"
"BEL","","MALE","2010","92.56"
"BEL","","MALE","2011","91.31"
"BEL","","MALE","2012","94.25"
"BEL","","MALE","2013","88.64"
"BEL","","MALE","2014","86.17"
"BEL","","MALE","2015","86.06"
"BEL","","MALE","2016","83.98"
"BEL","","MALE","2017","81.82"
"BEL","","MALE","2018","86.25"
"BEL","","MALE","2019","81.67"
"BEL","","MALE","2020","80.71"
"BGR","","MALE","1980","173.79"
"BGR","","MALE","1981","170.62"
"BGR","","MALE","1982","179.62"
"BGR","","MALE","1983","181.95"
"BGR","","MALE","1984","182.55"
"BGR","","MALE","1985","189.2"
"BGR","","MALE","1986","181.7"
"BGR","","MALE","1987","186.63"
"BGR","","MALE","1988","187.4"
"BGR","","MALE","1989","196.56"
"BGR","","MALE","1990","194.66"
"BGR","","MALE","1991","172.36"
"BGR","","MALE","1992","201.91"
"BGR","","MALE","1993","201.76"
"BGR","","MALE","1994","213.47"
"BGR","","MALE","1995","204.66"
"BGR","","MALE","1996","194.76"
"BGR","","MALE","1997","180.85"
"BGR","","MALE","1998","135.07"
"BGR","","MALE","1999","120.54"
"BGR","","MALE","2000","122.41"
"BGR","","MALE","2001","119.64"
"BGR","","MALE","2002","114.61"
"BGR","","MALE","2003","108.78"
"BGR","","MALE","2004","111.27"
"BGR","","MALE","2005","117.86"
"BGR","","MALE","2006","113.37"
"BGR","","MALE","2007","113.92"
"BGR","","MALE","2008","119.67"
"BGR","","MALE","2009","105.79"
"BGR","","MALE","2010","95.81"
"BGR","","MALE","2011","92.72"
"BGR","","MALE","2012","98.43"
"BGR","","MALE","2013","92.9"
"BGR","","MALE","2014","96.29"
"BGR","","MALE","2015","97.55"
"BGR","","MALE","2016","93.26"
"BGR","","MALE","2017","89.3"
"BGR","","MALE","2018","89.01"
"BGR","","MALE","2019","94.15"
"BGR","","MALE","2020","92.67"
"BGR","","MALE","2021","92.71"
"BIH","","MALE","1985","138.41"
"BIH","","MALE","1986","125.63"
"BIH","","MALE","1987","141.78"
"BIH","","MALE","1988","142.62"
"BIH","","MALE","1989","140.12"
"BIH","","MALE","1990","131.29"
"BIH","","MALE","1991","137.97"
"BIH","","MALE","2011","72.85"
"BIH","","MALE","2014","65.4"
"BIH","","MALE","2016","68.28"
"BIH","","MALE","2021","59.3"
"BIH","","MALE","2022","55.66"
"BLR","","MALE","1991","208.85"
"BLR","","MALE","1992","231.82"
"BLR","","MALE","1993","254.37"
"BLR","","MALE","1994","269.6"
"BLR","","MALE","1995","283.6"
"BLR","","MALE","1996","295.86"
"BLR","","MALE","1997","297.97"
"BLR","","MALE","1998","321.11"
"BLR","","MALE","1999","328.19"
"BLR","","MALE","2000","304.41"
"BLR","","MALE","2001","325.01"
"BLR","","MALE","2018","173.35"
"","CARINFONET","MALE","1991","245.01"
"","CARINFONET","MALE","1992","230.17"
"","CARINFONET","MALE","1993","286.69"
"","CARINFONET","MALE","1994","234.15"
"","CARINFONET","MALE","1995","242.72"
"","CARINFONET","MALE","1996","245.86"
"","CARINFONET","MALE","1997","229.25"
"","CARINFONET","MALE","1998","224.67"
"","CARINFONET","MALE","1999","205.92"
"","CARINFONET","MALE","2000","217.98"
"","CARINFONET","MALE","2001","217.26"
"","CARINFONET","MALE","2002","217.56"
"","CARINFONET","MALE","2003","215.36"
"","CARINFONET","MALE","2004","215.42"
"","CARINFONET","MALE","2005","216.24"
"","CARINFONET","MALE","2013","161.55"
"","CARINFONET","MALE","2014","153.86"
"","CARINFONET","MALE","2015","148.88"
"","CARINFONET","MALE","2016","139.42"
"CHE","","MALE","1995","98.01"
"CHE","","MALE","1996","90.29"
"CHE","","MALE","1997","89.56"
"CHE","","MALE","1998","88.95"
"CHE","","MALE","1999","83.98"
"CHE","","MALE","2000","88.29"
"CHE","","MALE","2001","87.08"
"CHE","","MALE","2002","82.54"
"CHE","","MALE","2003","79.55"
"CHE","","MALE","2004","76.98"
"CHE","","MALE","2005","74.34"
"CHE","","MALE","2006","74.56"
"CHE","","MALE","2007","75.4"
"CHE","","MALE","2008","72.42"
"CHE","","MALE","2009","71.65"
"CHE","","MALE","2010","66.52"
"CHE","","MALE","2011","66.06"
"CHE","","MALE","2012","65.39"
"CHE","","MALE","2013","64.1"
"CHE","","MALE","2015","63.09"
"CHE","","MALE","2016","58.12"
"CHE","","MALE","2017","56.84"
"CHE","","MALE","2018","55.96"
"CHE","","MALE","2019","53.99"
"","CIS","MALE","1991","237.13"
"","CIS","MALE","1992","248.17"
"","CIS","MALE","1993","273.16"
"","CIS","MALE","1994","266.13"
"","CIS","MALE","1995","279.92"
"","CIS","MALE","1996","273.87"
"","CIS","MALE","1997","256.9"
"","CIS","MALE","1998","246.51"
"","CIS","MALE","1999","242.23"
"","CIS","MALE","2000","249.88"
"","CIS","MALE","2001","255.22"
"","CIS","MALE","2002","256.15"
"","CIS","MALE","2003","249.22"
"CYP","","MALE","2004","71.11"
"CYP","","MALE","2005","79.68"
"CYP","","MALE","2006","61.79"
"CYP","","MALE","2007","72.32"
"CYP","","MALE","2008","70.03"
"CYP","","MALE","2009","62.7"
"CYP","","MALE","2010","57.2"
"CYP","","MALE","2011","50.54"
"CYP","","MALE","2012","48.41"
"CYP","","MALE","2013","56.66"
"CYP","","MALE","2014","50.11"
"CYP","","MALE","2015","52.88"
"CYP","","MALE","2016","53.55"
"CYP","","MALE","2017","56.47"
"CYP","","MALE","2018","54.73"
"CYP","","MALE","2019","54.7"
"CYP","","MALE","2020","47.23"
"CYP","","MALE","2021","46.24"
"CZE","","MALE","1986","193.94"
"CZE","","MALE","1987","188.1"
"CZE","","MALE","1988","186.34"
"CZE","","MALE","1989","193.22"
"CZE","","MALE","1990","217.04"
"CZE","","MALE","1991","207.8"
"CZE","","MALE","1992","209.27"
"CZE","","MALE","1993","197.38"
"CZE","","MALE","1994","146.22"
"CZE","","MALE","1995","145.71"
"CZE","","MALE","1996","137.61"
"CZE","","MALE","1997","141.02"
"CZE","","MALE","1998","132.5"
"CZE","","MALE","1999","129.15"
"CZE","","MALE","2000","131.34"
"CZE","","MALE","2001","128.16"
"CZE","","MALE","2002","129.72"
"CZE","","MALE","2003","138.14"
"CZE","","MALE","2004","128.74"
"CZE","","MALE","2005","125.42"
"CZE","","MALE","2006","116.94"
"CZE","","MALE","2007","118.07"
"CZE","","MALE","2008","116.2"
"CZE","","MALE","2009","111.6"
"CZE","","MALE","2010","111.4"
"CZE","","MALE","2011","108.63"
"CZE","","MALE","2012","106.5"
"CZE","","MALE","2013","102.4"
"CZE","","MALE","2014","99.7"
"CZE","","MALE","2015","99.5"
"CZE","","MALE","2016","93.14"
"CZE","","MALE","2017","97.39"
"CZE","","MALE","2018","98.69"
"CZE","","MALE","2019","96.58"
"CZE","","MALE","2020","96.2"
"CZE","","MALE","2021","96.19"
"DEU","","MALE","1990","147.16"
"DEU","","MALE","1991","151.14"
"DEU","","MALE","1992","146.29"
"DEU","","MALE","1993","142.37"
"DEU","","MALE","1994","139.89"
"DEU","","MALE","1995","134.58"
"DEU","","MALE","1996","130.04"
"DEU","","MALE","1997","126.95"
"DEU","","MALE","1998","100.02"
"DEU","","MALE","1999","97.1"
"DEU","","MALE","2000","96.09"
"DEU","","MALE","2001","93.22"
"DEU","","MALE","2002","93.2"
"DEU","","MALE","2003","92.48"
"DEU","","MALE","2004","87.5"
"DEU","","MALE","2005","85.48"
"DEU","","MALE","2006","81.43"
"DEU","","MALE","2007","77.5"
"DEU","","MALE","2008","76.75"
"DEU","","MALE","2009","75.87"
"DEU","","MALE","2010","76"
"DEU","","MALE","2011","74.76"
"DEU","","MALE","2012","72.38"
"DEU","","MALE","2013","75.38"
"DEU","","MALE","2014","73.23"
"DEU","","MALE","2015","74.28"
"DEU","","MALE","2016","75.47"
