"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"ALB","","FEMALE","1987","1.63"
"ALB","","FEMALE","1988","1.69"
"ALB","","FEMALE","1989","1.11"
"ALB","","FEMALE","1992","0.83"
"ALB","","FEMALE","1993","1.72"
"ALB","","FEMALE","1994","1.01"
"ALB","","FEMALE","1995","2.06"
"ALB","","FEMALE","1996","2.39"
"ALB","","FEMALE","1997","2.84"
"ALB","","FEMALE","1998","3.27"
"ALB","","FEMALE","1999","2.91"
"ALB","","FEMALE","2000","1.11"
"ALB","","FEMALE","2001","2.45"
"ALB","","FEMALE","2002","2.86"
"ALB","","FEMALE","2003","3.52"
"ALB","","FEMALE","2004","3.45"
"ALB","","FEMALE","2007","3.21"
"ALB","","FEMALE","2008","4.01"
"ARM","","FEMALE","1981","2.9"
"ARM","","FEMALE","1982","1.31"
"ARM","","FEMALE","1985","1.56"
"ARM","","FEMALE","1986","1.09"
"ARM","","FEMALE","1987","1.8"
"ARM","","FEMALE","1988","1.71"
"ARM","","FEMALE","1989","1.22"
"ARM","","FEMALE","1990","2.12"
"ARM","","FEMALE","1991","1.62"
"ARM","","FEMALE","1992","1.28"
"ARM","","FEMALE","1993","2.13"
"ARM","","FEMALE","1994","2.24"
"ARM","","FEMALE","1995","1.95"
"ARM","","FEMALE","1996","1.32"
"ARM","","FEMALE","1997","0.91"
"ARM","","FEMALE","1998","0.99"
"ARM","","FEMALE","1999","1.04"
"ARM","","FEMALE","2000","0.8"
"ARM","","FEMALE","2001","0.7"
"ARM","","FEMALE","2002","0.77"
"ARM","","FEMALE","2003","0.67"
"ARM","","FEMALE","2008","1.15"
"ARM","","FEMALE","2012","1.2"
"ARM","","FEMALE","2013","1.4"
"ARM","","FEMALE","2014","0.88"
"ARM","","FEMALE","2015","1.07"
"ARM","","FEMALE","2016","0.81"
"ARM","","FEMALE","2017","0.6"
"ARM","","FEMALE","2018","0.72"
"ARM","","FEMALE","2019","0.37"
"ARM","","FEMALE","2022","0.67"
"AUT","","FEMALE","1969","13.67"
"AUT","","FEMALE","1970","13.36"
"AUT","","FEMALE","1971","13.8"
"AUT","","FEMALE","1972","13.5"
"AUT","","FEMALE","1973","12.65"
"AUT","","FEMALE","1974","13.5"
"AUT","","FEMALE","1975","12.78"
"AUT","","FEMALE","1976","12.12"
"AUT","","FEMALE","1977","13.88"
"AUT","","FEMALE","1978","13.1"
"AUT","","FEMALE","1979","13.62"
"AUT","","FEMALE","1980","13.35"
"AUT","","FEMALE","1981","13.66"
"AUT","","FEMALE","1982","13.09"
"AUT","","FEMALE","1983","13.76"
"AUT","","FEMALE","1984","13.21"
"AUT","","FEMALE","1985","13.98"
"AUT","","FEMALE","1986","14.12"
"AUT","","FEMALE","1987","13.54"
"AUT","","FEMALE","1988","11.66"
"AUT","","FEMALE","1989","12.55"
"AUT","","FEMALE","1990","11.6"
"AUT","","FEMALE","1991","10.2"
"AUT","","FEMALE","1992","10.48"
"AUT","","FEMALE","1993","9.8"
"AUT","","FEMALE","1994","10.49"
"AUT","","FEMALE","1995","9.32"
"AUT","","FEMALE","1996","8.94"
