"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"ALB","","MALE","1987","3.22"
"ALB","","MALE","1988","3.01"
"ALB","","MALE","1989","3.86"
"ALB","","MALE","1992","2.46"
"ALB","","MALE","1993","3.41"
"ALB","","MALE","1994","3.04"
"ALB","","MALE","1995","3.79"
"ALB","","MALE","1996","3.65"
"ALB","","MALE","1997","8.29"
"ALB","","MALE","1998","6.84"
"ALB","","MALE","1999","6.34"
"ALB","","MALE","2000","2.8"
"ALB","","MALE","2001","6"
"ALB","","MALE","2002","6.76"
"ALB","","MALE","2003","5.16"
"ALB","","MALE","2004","6.31"
"ALB","","MALE","2007","5.83"
"ALB","","MALE","2008","7.12"
"ARM","","MALE","1981","5.52"
"ARM","","MALE","1982","4.55"
"ARM","","MALE","1985","4.43"
"ARM","","MALE","1986","3.98"
"ARM","","MALE","1987","4.9"
"ARM","","MALE","1988","2.67"
"ARM","","MALE","1989","4.53"
"ARM","","MALE","1990","4.54"
"ARM","","MALE","1991","3.69"
"ARM","","MALE","1992","4.67"
"ARM","","MALE","1993","4.68"
"ARM","","MALE","1994","5.67"
"ARM","","MALE","1995","6.42"
"ARM","","MALE","1996","4.75"
"ARM","","MALE","1997","4"
"ARM","","MALE","1998","3.16"
"ARM","","MALE","1999","2.99"
"ARM","","MALE","2000","3.07"
"ARM","","MALE","2001","3.07"
"ARM","","MALE","2002","4.36"
"ARM","","MALE","2003","3.8"
"ARM","","MALE","2008","3.18"
"ARM","","MALE","2012","4.38"
"ARM","","MALE","2013","3.12"
"ARM","","MALE","2014","2.96"
"ARM","","MALE","2015","4.04"
"ARM","","MALE","2016","3.89"
"ARM","","MALE","2017","2.7"
"ARM","","MALE","2018","3.3"
"ARM","","MALE","2019","3.15"
"ARM","","MALE","2022","2.63"
"AUT","","MALE","1969","33.78"
"AUT","","MALE","1970","39.04"
"AUT","","MALE","1971","34.41"
"AUT","","MALE","1972","36.53"
"AUT","","MALE","1973","34.73"
"AUT","","MALE","1974","36.72"
"AUT","","MALE","1975","38.34"
"AUT","","MALE","1976","35.43"
"AUT","","MALE","1977","36.33"
"AUT","","MALE","1978","38.21"
"AUT","","MALE","1979","37.94"
"AUT","","MALE","1980","39.02"
"AUT","","MALE","1981","41.01"
"AUT","","MALE","1982","42.58"
"AUT","","MALE","1983","40.58"
"AUT","","MALE","1984","40.16"
"AUT","","MALE","1985","40.53"
"AUT","","MALE","1986","41.7"
"AUT","","MALE","1987","39.47"
"AUT","","MALE","1988","35.75"
"AUT","","MALE","1989","35.78"
"AUT","","MALE","1990","34.22"
"AUT","","MALE","1991","33.92"
"AUT","","MALE","1992","33.44"
"AUT","","MALE","1993","31.98"
"AUT","","MALE","1994","32.89"
"AUT","","MALE","1995","33.6"
"AUT","","MALE","1996","33.79"
"AUT","","MALE","1997","29.29"
"AUT","","MALE","1998","29.59"
"AUT","","MALE","1999","27.92"
"AUT","","MALE","2000","28.35"
"AUT","","MALE","2001","26.21"
"AUT","","MALE","2002","28.38"
"AUT","","MALE","2003","25.42"
"AUT","","MALE","2004","25.26"
"AUT","","MALE","2005","24.05"
"AUT","","MALE","2006","22.37"
"AUT","","MALE","2007","21.64"
"AUT","","MALE","2008","20.74"
"AUT","","MALE","2009","20.94"
