"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"ALB","","ALL","1987","2.47"
"ALB","","ALL","1988","2.4"
"ALB","","ALL","1989","2.48"
"ALB","","ALL","1992","1.65"
"ALB","","ALL","1993","2.53"
"ALB","","ALL","1994","1.98"
"ALB","","ALL","1995","2.94"
"ALB","","ALL","1996","2.92"
"ALB","","ALL","1997","5.41"
"ALB","","ALL","1998","4.94"
"ALB","","ALL","1999","4.6"
"ALB","","ALL","2000","1.97"
"ALB","","ALL","2001","4.23"
"ALB","","ALL","2002","4.73"
"ALB","","ALL","2003","4.38"
"ALB","","ALL","2004","4.84"
"ALB","","ALL","2007","4.41"
"ALB","","ALL","2008","5.56"
"ARM","","ALL","1981","4.12"
"ARM","","ALL","1982","2.82"
"ARM","","ALL","1985","2.96"
"ARM","","ALL","1986","2.35"
"ARM","","ALL","1987","3.17"
"ARM","","ALL","1988","2.17"
"ARM","","ALL","1989","2.81"
"ARM","","ALL","1990","3.31"
"ARM","","ALL","1991","2.54"
"ARM","","ALL","1992","2.82"
"ARM","","ALL","1993","3.37"
"ARM","","ALL","1994","3.78"
"ARM","","ALL","1995","4.01"
"ARM","","ALL","1996","2.86"
"ARM","","ALL","1997","2.36"
"ARM","","ALL","1998","1.97"
"ARM","","ALL","1999","1.97"
"ARM","","ALL","2000","1.84"
"ARM","","ALL","2001","1.79"
"ARM","","ALL","2002","2.39"
"ARM","","ALL","2003","2.13"
"ARM","","ALL","2008","2.02"
"ARM","","ALL","2012","2.65"
"ARM","","ALL","2013","2.21"
"ARM","","ALL","2014","1.81"
"ARM","","ALL","2015","2.35"
"ARM","","ALL","2016","2.15"
"ARM","","ALL","2017","1.47"
"ARM","","ALL","2018","1.83"
"ARM","","ALL","2019","1.54"
"ARM","","ALL","2022","1.51"
"AUT","","ALL","1969","22.62"
"AUT","","ALL","1970","24.78"
"AUT","","ALL","1971","22.94"
"AUT","","ALL","1972","23.66"
"AUT","","ALL","1973","22.37"
"AUT","","ALL","1974","23.86"
"AUT","","ALL","1975","24.14"
"AUT","","ALL","1976","22.63"
"AUT","","ALL","1977","23.93"
"AUT","","ALL","1978","24.51"
"AUT","","ALL","1979","24.71"
"AUT","","ALL","1980","25.09"
"AUT","","ALL","1981","26.06"
"AUT","","ALL","1982","26.59"
"AUT","","ALL","1983","25.99"
"AUT","","ALL","1984","25.54"
"AUT","","ALL","1985","26.27"
"AUT","","ALL","1986","26.74"
"AUT","","ALL","1987","25.41"
"AUT","","ALL","1988","22.68"
"AUT","","ALL","1989","23.08"
"AUT","","ALL","1990","21.86"
"AUT","","ALL","1991","20.83"
"AUT","","ALL","1992","20.8"
"AUT","","ALL","1993","19.69"
