"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"ALB","","FEMALE","1987","370.82"
"ALB","","FEMALE","1988","373.28"
"ALB","","FEMALE","1989","364.66"
"ALB","","FEMALE","1992","308.02"
"ALB","","FEMALE","1993","275.04"
"ALB","","FEMALE","1994","245.09"
"ALB","","FEMALE","1995","314.68"
"ALB","","FEMALE","1996","331.83"
"ALB","","FEMALE","1997","294.46"
"ALB","","FEMALE","1998","343.27"
"ALB","","FEMALE","1999","316.35"
"ALB","","FEMALE","2000","394.21"
"ALB","","FEMALE","2001","297.8"
"ALB","","FEMALE","2002","332.02"
"ALB","","FEMALE","2003","369.12"
"ALB","","FEMALE","2004","354.76"
"ALB","","FEMALE","2005","332.81"
"ALB","","FEMALE","2006","323.97"
"ALB","","FEMALE","2007","274.31"
"ALB","","FEMALE","2008","318.34"
"ALB","","FEMALE","2009","312.29"
"ARM","","FEMALE","1981","383.37"
"ARM","","FEMALE","1982","434.69"
"ARM","","FEMALE","1985","472.16"
"ARM","","FEMALE","1986","459.9"
"ARM","","FEMALE","1987","468.49"
"ARM","","FEMALE","1988","466.42"
"ARM","","FEMALE","1989","503.64"
"ARM","","FEMALE","1990","489.43"
"ARM","","FEMALE","1991","485.97"
"ARM","","FEMALE","1992","526.1"
"ARM","","FEMALE","1993","559.67"
"ARM","","FEMALE","1994","479.43"
"ARM","","FEMALE","1995","489.81"
"ARM","","FEMALE","1996","482.7"
"ARM","","FEMALE","1997","444.79"
"ARM","","FEMALE","1998","414.28"
"ARM","","FEMALE","1999","431"
"ARM","","FEMALE","2000","396.33"
"ARM","","FEMALE","2001","389.03"
"ARM","","FEMALE","2002","537.06"
"ARM","","FEMALE","2003","536.04"
"ARM","","FEMALE","2008","463.12"
"ARM","","FEMALE","2012","356.53"
"ARM","","FEMALE","2013","343.92"
"ARM","","FEMALE","2014","349.89"
"ARM","","FEMALE","2015","332.21"
"ARM","","FEMALE","2016","345.48"
"ARM","","FEMALE","2017","380.15"
"ARM","","FEMALE","2018","351.48"
"ARM","","FEMALE","2019","342.06"
"ARM","","FEMALE","2022","328.97"
"AUT","","FEMALE","1969","483.01"
"AUT","","FEMALE","1970","476.58"
"AUT","","FEMALE","1971","484.36"
"AUT","","FEMALE","1972","468.53"
"AUT","","FEMALE","1973","444.37"
"AUT","","FEMALE","1974","442.65"
"AUT","","FEMALE","1975","453.95"
"AUT","","FEMALE","1976","456.6"
"AUT","","FEMALE","1977","437.1"
"AUT","","FEMALE","1978","447.28"
"AUT","","FEMALE","1979","420.93"
"AUT","","FEMALE","1980","434.2"
"AUT","","FEMALE","1981","422.38"
"AUT","","FEMALE","1982","410.62"
"AUT","","FEMALE","1983","420.88"
"AUT","","FEMALE","1984","388.65"
"AUT","","FEMALE","1985","391.44"
"AUT","","FEMALE","1986","379.21"
"AUT","","FEMALE","1987","357.62"
"AUT","","FEMALE","1988","345.55"
"AUT","","FEMALE","1989","334.19"
"AUT","","FEMALE","1990","323.36"
"AUT","","FEMALE","1991","333.98"
"AUT","","FEMALE","1992","324.5"
"AUT","","FEMALE","1993","320.69"
"AUT","","FEMALE","1994","307.12"
"AUT","","FEMALE","1995","305.26"
"AUT","","FEMALE","1996","306.57"
"AUT","","FEMALE","1997","291.35"
"AUT","","FEMALE","1998","287.77"
"AUT","","FEMALE","1999","285.32"
"AUT","","FEMALE","2000","265.46"
"AUT","","FEMALE","2001","252.73"
"AUT","","FEMALE","2002","241.78"
"AUT","","FEMALE","2003","232.66"
"AUT","","FEMALE","2004","210.95"
"AUT","","FEMALE","2005","204.15"
"AUT","","FEMALE","2006","193.56"
"AUT","","FEMALE","2007","186.33"
"AUT","","FEMALE","2008","177.54"
