"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"ALB","","MALE","1987","539.23"
"ALB","","MALE","1988","545.07"
"ALB","","MALE","1989","570"
"ALB","","MALE","1992","481.17"
"ALB","","MALE","1993","446.87"
"ALB","","MALE","1994","412.56"
"ALB","","MALE","1995","495.22"
"ALB","","MALE","1996","555.75"
"ALB","","MALE","1997","504.82"
"ALB","","MALE","1998","548.3"
"ALB","","MALE","1999","497.5"
"ALB","","MALE","2000","576.73"
"ALB","","MALE","2001","448.85"
"ALB","","MALE","2002","478.87"
"ALB","","MALE","2003","524.89"
"ALB","","MALE","2004","490.75"
"ALB","","MALE","2005","465.54"
"ALB","","MALE","2006","432.14"
"ALB","","MALE","2007","371.84"
"ALB","","MALE","2008","435.48"
"ALB","","MALE","2009","397.49"
"ARM","","MALE","1981","509.9"
"ARM","","MALE","1982","559.19"
"ARM","","MALE","1985","579.96"
"ARM","","MALE","1986","581.96"
"ARM","","MALE","1987","592.95"
"ARM","","MALE","1988","633.98"
"ARM","","MALE","1989","646.52"
"ARM","","MALE","1990","671.38"
"ARM","","MALE","1991","659.06"
"ARM","","MALE","1992","702.75"
"ARM","","MALE","1993","740.12"
"ARM","","MALE","1994","632.18"
"ARM","","MALE","1995","651.25"
"ARM","","MALE","1996","615.81"
"ARM","","MALE","1997","569"
"ARM","","MALE","1998","531.17"
"ARM","","MALE","1999","531.48"
"ARM","","MALE","2000","495.27"
"ARM","","MALE","2001","498.74"
"ARM","","MALE","2002","730.21"
"ARM","","MALE","2003","751.1"
"ARM","","MALE","2008","659"
"ARM","","MALE","2012","524.55"
"ARM","","MALE","2013","501.39"
"ARM","","MALE","2014","511.82"
"ARM","","MALE","2015","487.75"
"ARM","","MALE","2016","501.73"
"ARM","","MALE","2017","548.47"
"ARM","","MALE","2018","510.83"
"ARM","","MALE","2019","504.71"
"ARM","","MALE","2022","506.76"
"AUT","","MALE","1969","673.24"
"AUT","","MALE","1970","684.03"
"AUT","","MALE","1971","676.72"
"AUT","","MALE","1972","669.79"
"AUT","","MALE","1973","635.95"
"AUT","","MALE","1974","659.74"
"AUT","","MALE","1975","670.38"
"AUT","","MALE","1976","664.13"
"AUT","","MALE","1977","639.7"
"AUT","","MALE","1978","661.17"
"AUT","","MALE","1979","628.97"
"AUT","","MALE","1980","638.06"
"AUT","","MALE","1981","648.29"
"AUT","","MALE","1982","630.08"
"AUT","","MALE","1983","647.55"
"AUT","","MALE","1984","599.32"
"AUT","","MALE","1985","599.99"
"AUT","","MALE","1986","574.76"
"AUT","","MALE","1987","547.26"
"AUT","","MALE","1988","533.56"
"AUT","","MALE","1989","523.02"
"AUT","","MALE","1990","498.37"
"AUT","","MALE","1991","499.12"
"AUT","","MALE","1992","500.72"
"AUT","","MALE","1993","490.65"
"AUT","","MALE","1994","473.08"
"AUT","","MALE","1995","473.9"
"AUT","","MALE","1996","468.06"
"AUT","","MALE","1997","465.3"
"AUT","","MALE","1998","449.13"
"AUT","","MALE","1999","428.61"
"AUT","","MALE","2000","399.55"
"AUT","","MALE","2001","374.64"
"AUT","","MALE","2002","352.07"
"AUT","","MALE","2003","323.41"
"AUT","","MALE","2004","300.29"
"AUT","","MALE","2005","289.24"
"AUT","","MALE","2006","280.2"
"AUT","","MALE","2007","273.51"
"AUT","","MALE","2008","259"
"AUT","","MALE","2009","259.33"
"AUT","","MALE","2010","253.18"
"AUT","","MALE","2011","241.44"
"AUT","","MALE","2012","237.99"
"AUT","","MALE","2013","237.64"
"AUT","","MALE","2014","224.51"
"AUT","","MALE","2015","234.03"
"AUT","","MALE","2016","217.06"
"AUT","","MALE","2017","208.65"
"AUT","","MALE","2018","207.38"
"AUT","","MALE","2019","201.24"
"AUT","","MALE","2020","200.91"
"AUT","","MALE","2021","191.56"
"AZE","","MALE","1981","730.09"
"AZE","","MALE","1982","741.68"
"AZE","","MALE","1985","774.31"
"AZE","","MALE","1986","746.75"
"AZE","","MALE","1987","802.22"
"AZE","","MALE","1988","825.04"
"AZE","","MALE","1989","724.63"
"AZE","","MALE","1990","723.29"
"AZE","","MALE","1991","775.08"
"AZE","","MALE","1992","764.56"
"AZE","","MALE","1993","826.65"
"AZE","","MALE","1994","804.32"
"AZE","","MALE","1995","821.85"
"AZE","","MALE","1996","773.02"
"AZE","","MALE","1997","754.39"
"AZE","","MALE","1998","762.85"
"AZE","","MALE","1999","774.25"
"AZE","","MALE","2000","775.04"
"AZE","","MALE","2001","706.68"
"AZE","","MALE","2002","730.65"
"AZE","","MALE","2003","737.05"
"AZE","","MALE","2004","719.75"
"AZE","","MALE","2007","616.83"
"BEL","","MALE","1968","667.17"
"BEL","","MALE","1969","630.28"
"BEL","","MALE","1970","614.16"
"BEL","","MALE","1971","620.9"
"BEL","","MALE","1972","603.92"
"BEL","","MALE","1973","585.77"
"BEL","","MALE","1974","574.71"
"BEL","","MALE","1975","580.52"
"BEL","","MALE","1976","571.13"
"BEL","","MALE","1977","524.42"
"BEL","","MALE","1978","518.47"
"BEL","","MALE","1979","514.23"
"BEL","","MALE","1980","525.39"
"BEL","","MALE","1981","522.48"
"BEL","","MALE","1982","507.71"
"BEL","","MALE","1983","509.52"
"BEL","","MALE","1984","481.59"
"BEL","","MALE","1985","461.89"
"BEL","","MALE","1986","432.56"
"BEL","","MALE","1987","399.08"
"BEL","","MALE","1988","386.41"
"BEL","","MALE","1989","379.11"
"BEL","","MALE","1990","364.36"
"BEL","","MALE","1991","349.59"
"BEL","","MALE","1992","345.29"
"BEL","","MALE","1993","353.29"
"BEL","","MALE","1994","331.88"
"BEL","","MALE","1995","327.51"
"BEL","","MALE","1996","326.01"
"BEL","","MALE","1997","312.15"
"BEL","","MALE","1998","299.98"
"BEL","","MALE","1999","290.94"
"BEL","","MALE","2000","295.16"
"BEL","","MALE","2001","278.78"
"BEL","","MALE","2002","279.21"
"BEL","","MALE","2003","272.85"
"BEL","","MALE","2004","257.52"
"BEL","","MALE","2005","244.08"
"BEL","","MALE","2006","224.2"
"BEL","","MALE","2007","219.35"
"BEL","","MALE","2008","213.99"
"BEL","","MALE","2009","205.69"
"BEL","","MALE","2010","197.46"
"BEL","","MALE","2011","183.46"
"BEL","","MALE","2012","181.06"
"BEL","","MALE","2013","176.79"
"BEL","","MALE","2014","162.99"
"BEL","","MALE","2015","165.14"
"BEL","","MALE","2016","155.83"
"BEL","","MALE","2017","153.33"
"BEL","","MALE","2018","143.26"
"BEL","","MALE","2019","131.5"
"BEL","","MALE","2020","127.42"
"BGR","","MALE","1968","530.53"
"BGR","","MALE","1969","577.18"
"BGR","","MALE","1970","582.8"
"BGR","","MALE","1971","614.33"
"BGR","","MALE","1972","648.11"
"BGR","","MALE","1973","636.81"
"BGR","","MALE","1974","665.13"
"BGR","","MALE","1975","657.33"
"BGR","","MALE","1976","665.96"
"BGR","","MALE","1977","703.24"
"BGR","","MALE","1978","695.71"
"BGR","","MALE","1979","710.64"
"BGR","","MALE","1980","715.79"
"BGR","","MALE","1981","707.1"
"BGR","","MALE","1982","735.07"
"BGR","","MALE","1983","755.69"
"BGR","","MALE","1984","765.66"
"BGR","","MALE","1985","826.2"
"BGR","","MALE","1986","821.45"
"BGR","","MALE","1987","832.12"
"BGR","","MALE","1988","818.77"
"BGR","","MALE","1989","808.77"
"BGR","","MALE","1990","812.95"
"BGR","","MALE","1991","818.15"
"BGR","","MALE","1992","804.36"
"BGR","","MALE","1993","849.7"
"BGR","","MALE","1994","846.18"
"BGR","","MALE","1995","871.49"
"BGR","","MALE","1996","890.81"
"BGR","","MALE","1997","971.39"
"BGR","","MALE","1998","972.36"
"BGR","","MALE","1999","852.1"
"BGR","","MALE","2000","876.73"
"BGR","","MALE","2001","854.15"
"BGR","","MALE","2002","872.22"
"BGR","","MALE","2003","867.99"
"BGR","","MALE","2004","840.52"
"BGR","","MALE","2005","833.22"
"BGR","","MALE","2006","821.75"
"BGR","","MALE","2007","795.93"
"BGR","","MALE","2008","751.4"
"BGR","","MALE","2009","745.06"
"BGR","","MALE","2010","771.25"
"BGR","","MALE","2011","738.61"
"BGR","","MALE","2012","705.48"
"BGR","","MALE","2013","676.31"
"BGR","","MALE","2014","701.63"
"BGR","","MALE","2015","695.23"
"BGR","","MALE","2016","685.97"
"BGR","","MALE","2017","692.25"
"BGR","","MALE","2018","681.97"
"BGR","","MALE","2019","654.9"
"BGR","","MALE","2020","720.16"
