"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"ALB","","FEMALE","1987","13"
"ALB","","FEMALE","1988","14.45"
"ALB","","FEMALE","1989","14.2"
"ALB","","FEMALE","1992","16.91"
"ALB","","FEMALE","1993","20.52"
"ALB","","FEMALE","1994","16.13"
"ALB","","FEMALE","1995","20.06"
"ALB","","FEMALE","1996","18.63"
"ALB","","FEMALE","1997","29.23"
"ALB","","FEMALE","1998","21.11"
"ALB","","FEMALE","1999","22.07"
"ALB","","FEMALE","2000","20.73"
"ALB","","FEMALE","2001","19.74"
"ALB","","FEMALE","2002","20.62"
"ALB","","FEMALE","2003","19.5"
"ALB","","FEMALE","2004","21.2"
"ALB","","FEMALE","2005","20.96"
"ALB","","FEMALE","2006","16.25"
"ALB","","FEMALE","2007","16.55"
"ALB","","FEMALE","2008","17.59"
"ALB","","FEMALE","2009","14.24"
"ARM","","FEMALE","1981","27.58"
"ARM","","FEMALE","1982","24.62"
"ARM","","FEMALE","1985","30.28"
"ARM","","FEMALE","1986","26.82"
"ARM","","FEMALE","1987","31.67"
"ARM","","FEMALE","1988","611.11"
"ARM","","FEMALE","1989","51.49"
"ARM","","FEMALE","1990","31.75"
"ARM","","FEMALE","1991","31.01"
"ARM","","FEMALE","1992","31.28"
"ARM","","FEMALE","1993","27.2"
"ARM","","FEMALE","1994","19.32"
"ARM","","FEMALE","1995","20.43"
"ARM","","FEMALE","1996","19.12"
"ARM","","FEMALE","1997","17.76"
"ARM","","FEMALE","1998","16.48"
"ARM","","FEMALE","1999","15.61"
"ARM","","FEMALE","2000","14.03"
"ARM","","FEMALE","2001","14.87"
"ARM","","FEMALE","2002","16.35"
"ARM","","FEMALE","2003","15.88"
"ARM","","FEMALE","2008","19.98"
"ARM","","FEMALE","2012","19.73"
"ARM","","FEMALE","2013","20.63"
"ARM","","FEMALE","2014","20.17"
"ARM","","FEMALE","2015","20.44"
"ARM","","FEMALE","2016","18.04"
"ARM","","FEMALE","2017","15.77"
"ARM","","FEMALE","2018","15.1"
"ARM","","FEMALE","2019","14.3"
"ARM","","FEMALE","2022","15.5"
"AUT","","FEMALE","1969","58.28"
"AUT","","FEMALE","1970","60.19"
"AUT","","FEMALE","1971","62.62"
"AUT","","FEMALE","1972","61.8"
"AUT","","FEMALE","1973","60.55"
"AUT","","FEMALE","1974","57.96"
"AUT","","FEMALE","1975","56.57"
"AUT","","FEMALE","1976","53.47"
"AUT","","FEMALE","1977","53.14"
"AUT","","FEMALE","1978","53.91"
"AUT","","FEMALE","1979","52.11"
"AUT","","FEMALE","1980","49.99"
"AUT","","FEMALE","1981","47.46"
"AUT","","FEMALE","1982","47.33"
"AUT","","FEMALE","1983","49.81"
"AUT","","FEMALE","1984","44.68"
"AUT","","FEMALE","1985","44.53"
"AUT","","FEMALE","1986","42.49"
"AUT","","FEMALE","1987","41.7"
"AUT","","FEMALE","1988","40.51"
"AUT","","FEMALE","1989","38.21"
"AUT","","FEMALE","1990","35.55"
"AUT","","FEMALE","1991","32.6"
"AUT","","FEMALE","1992","32.51"
"AUT","","FEMALE","1993","30.87"
"AUT","","FEMALE","1994","30.5"
"AUT","","FEMALE","1995","27.57"
"AUT","","FEMALE","1996","27.49"
"AUT","","FEMALE","1997","25.13"
"AUT","","FEMALE","1998","23.51"
"AUT","","FEMALE","1999","25.59"
"AUT","","FEMALE","2000","25.66"
"AUT","","FEMALE","2001","24.02"
"AUT","","FEMALE","2002","23.82"
"AUT","","FEMALE","2003","25.47"
"AUT","","FEMALE","2004","22.11"
"AUT","","FEMALE","2005","23.66"
"AUT","","FEMALE","2006","21.97"
"AUT","","FEMALE","2007","21.39"
"AUT","","FEMALE","2008","20.98"
"AUT","","FEMALE","2009","21.4"
"AUT","","FEMALE","2010","20.19"
"AUT","","FEMALE","2011","20.72"
"AUT","","FEMALE","2012","20.46"
"AUT","","FEMALE","2013","19.75"
"AUT","","FEMALE","2014","19.73"
"AUT","","FEMALE","2015","20.78"
"AUT","","FEMALE","2016","20.23"
"AUT","","FEMALE","2017","18.95"
"AUT","","FEMALE","2018","19.37"
"AUT","","FEMALE","2019","19.81"
"AUT","","FEMALE","2020","20.84"
"AUT","","FEMALE","2021","19.49"
"AZE","","FEMALE","1981","33.18"
"AZE","","FEMALE","1982","30.88"
"AZE","","FEMALE","1985","27.08"
"AZE","","FEMALE","1986","28.19"
"AZE","","FEMALE","1987","28.58"
"AZE","","FEMALE","1988","27.53"
"AZE","","FEMALE","1989","23.19"
"AZE","","FEMALE","1990","24.19"
"AZE","","FEMALE","1991","23.43"
"AZE","","FEMALE","1992","31.88"
"AZE","","FEMALE","1993","27.11"
"AZE","","FEMALE","1994","26.78"
"AZE","","FEMALE","1995","25.11"
"AZE","","FEMALE","1996","20.68"
"AZE","","FEMALE","1997","18.9"
"AZE","","FEMALE","1998","17.68"
"AZE","","FEMALE","1999","14.98"
"AZE","","FEMALE","2000","14.9"
"AZE","","FEMALE","2001","13.52"
"AZE","","FEMALE","2002","12.2"
"AZE","","FEMALE","2003","14.86"
"AZE","","FEMALE","2004","12.37"
"AZE","","FEMALE","2007","13.69"
"BEL","","FEMALE","1968","55.92"
"BEL","","FEMALE","1969","58.03"
"BEL","","FEMALE","1970","58.27"
"BEL","","FEMALE","1971","57.83"
"BEL","","FEMALE","1972","59.3"
"BEL","","FEMALE","1973","56.19"
"BEL","","FEMALE","1974","55.29"
"BEL","","FEMALE","1975","54.85"
"BEL","","FEMALE","1976","55.69"
"BEL","","FEMALE","1977","55.41"
"BEL","","FEMALE","1978","56.29"
"BEL","","FEMALE","1979","55.33"
"BEL","","FEMALE","1980","56.67"
"BEL","","FEMALE","1981","54.22"
"BEL","","FEMALE","1982","51.96"
"BEL","","FEMALE","1983","52.83"
"BEL","","FEMALE","1984","46.28"
"BEL","","FEMALE","1985","42.2"
"BEL","","FEMALE","1986","42.4"
"BEL","","FEMALE","1987","40.6"
"BEL","","FEMALE","1988","38.83"
"BEL","","FEMALE","1989","36.89"
"BEL","","FEMALE","1990","36.99"
"BEL","","FEMALE","1991","35.15"
"BEL","","FEMALE","1992","34.8"
"BEL","","FEMALE","1993","35.62"
"BEL","","FEMALE","1994","36.69"
"BEL","","FEMALE","1995","33.62"
"BEL","","FEMALE","1996","32.86"
"BEL","","FEMALE","1997","32.85"
"BEL","","FEMALE","1998","35.41"
"BEL","","FEMALE","1999","32.8"
"BEL","","FEMALE","2000","34.85"
"BEL","","FEMALE","2001","34.84"
"BEL","","FEMALE","2002","33.19"
"BEL","","FEMALE","2003","31.73"
