"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"ALB","","MALE","1987","37"
"ALB","","MALE","1988","39.23"
"ALB","","MALE","1989","44.37"
"ALB","","MALE","1992","56.94"
"ALB","","MALE","1993","68.89"
"ALB","","MALE","1994","55.84"
"ALB","","MALE","1995","71.25"
"ALB","","MALE","1996","72.65"
"ALB","","MALE","1997","132.91"
"ALB","","MALE","1998","95.99"
"ALB","","MALE","1999","88.14"
"ALB","","MALE","2000","72.71"
"ALB","","MALE","2001","72.28"
"ALB","","MALE","2002","68.79"
"ALB","","MALE","2003","67.59"
"ALB","","MALE","2004","63.47"
"ALB","","MALE","2005","68.8"
"ALB","","MALE","2006","53.96"
"ALB","","MALE","2007","54.49"
"ALB","","MALE","2008","52.74"
"ALB","","MALE","2009","49.97"
"ARM","","MALE","1981","72.97"
"ARM","","MALE","1982","66.78"
"ARM","","MALE","1985","62.61"
"ARM","","MALE","1986","61.26"
"ARM","","MALE","1987","68.89"
"ARM","","MALE","1988","459.87"
"ARM","","MALE","1989","101.51"
"ARM","","MALE","1990","103.95"
"ARM","","MALE","1991","93.43"
"ARM","","MALE","1992","125.97"
"ARM","","MALE","1993","115.16"
"ARM","","MALE","1994","125.82"
"ARM","","MALE","1995","84.3"
"ARM","","MALE","1996","75.12"
"ARM","","MALE","1997","68.38"
"ARM","","MALE","1998","61.87"
"ARM","","MALE","1999","51.02"
"ARM","","MALE","2000","50.38"
"ARM","","MALE","2001","49.88"
"ARM","","MALE","2002","62.05"
"ARM","","MALE","2003","59.76"
"ARM","","MALE","2008","68.29"
"ARM","","MALE","2012","72.38"
"ARM","","MALE","2013","65.5"
"ARM","","MALE","2014","61.87"
"ARM","","MALE","2015","70.55"
"ARM","","MALE","2016","69.74"
"ARM","","MALE","2017","59.28"
"ARM","","MALE","2018","57.44"
"ARM","","MALE","2019","60.03"
"ARM","","MALE","2022","70.79"
"AUT","","MALE","1969","141.84"
"AUT","","MALE","1970","154.26"
"AUT","","MALE","1971","158.03"
"AUT","","MALE","1972","158.47"
"AUT","","MALE","1973","147.82"
"AUT","","MALE","1974","146.67"
"AUT","","MALE","1975","142.37"
"AUT","","MALE","1976","133.78"
"AUT","","MALE","1977","132.59"
"AUT","","MALE","1978","133.79"
"AUT","","MALE","1979","133.39"
"AUT","","MALE","1980","125.28"
"AUT","","MALE","1981","125.19"
"AUT","","MALE","1982","127.92"
"AUT","","MALE","1983","125.22"
"AUT","","MALE","1984","121.01"
"AUT","","MALE","1985","112.34"
"AUT","","MALE","1986","109"
"AUT","","MALE","1987","104.8"
"AUT","","MALE","1988","101.31"
"AUT","","MALE","1989","100.35"
"AUT","","MALE","1990","96.25"
"AUT","","MALE","1991","94.3"
"AUT","","MALE","1992","86.8"
"AUT","","MALE","1993","87.36"
"AUT","","MALE","1994","91.19"
"AUT","","MALE","1995","85.45"
"AUT","","MALE","1996","80.88"
"AUT","","MALE","1997","76.36"
"AUT","","MALE","1998","72.7"
"AUT","","MALE","1999","73.44"
"AUT","","MALE","2000","73.79"
"AUT","","MALE","2001","69.93"
"AUT","","MALE","2002","71.03"
"AUT","","MALE","2003","66.29"
"AUT","","MALE","2004","66.1"
"AUT","","MALE","2005","67.36"
"AUT","","MALE","2006","62.81"
"AUT","","MALE","2007","61.49"
"AUT","","MALE","2008","59.65"
"AUT","","MALE","2009","59.01"
"AUT","","MALE","2010","57.12"
"AUT","","MALE","2011","55.2"
"AUT","","MALE","2012","56.18"
"AUT","","MALE","2013","52.66"
"AUT","","MALE","2014","51.26"
"AUT","","MALE","2015","53.02"
"AUT","","MALE","2016","48.1"
"AUT","","MALE","2017","50.6"
"AUT","","MALE","2018","50.5"
"AUT","","MALE","2019","50.75"
"AUT","","MALE","2020","50.51"
"AUT","","MALE","2021","52.36"
"AZE","","MALE","1981","83.3"
"AZE","","MALE","1982","78.44"
"AZE","","MALE","1985","71.48"
"AZE","","MALE","1986","78.4"
"AZE","","MALE","1987","74.58"
"AZE","","MALE","1988","77.62"
"AZE","","MALE","1989","79.49"
"AZE","","MALE","1990","85.61"
"AZE","","MALE","1991","84.83"
"AZE","","MALE","1992","174.8"
"AZE","","MALE","1993","141.65"
"AZE","","MALE","1994","168.52"
"AZE","","MALE","1995","83.58"
"AZE","","MALE","1996","66.95"
"AZE","","MALE","1997","60.26"
