"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"ALB","","ALL","1987","25.4"
"ALB","","ALL","1988","27.2"
"ALB","","ALL","1989","29.53"
"ALB","","ALL","1992","36.48"
"ALB","","ALL","1993","43.7"
"ALB","","ALL","1994","35.08"
"ALB","","ALL","1995","44.65"
"ALB","","ALL","1996","44.21"
"ALB","","ALL","1997","77.92"
"ALB","","ALL","1998","56.21"
"ALB","","ALL","1999","53.28"
"ALB","","ALL","2000","46.43"
"ALB","","ALL","2001","45.35"
"ALB","","ALL","2002","44.45"
"ALB","","ALL","2003","42.95"
"ALB","","ALL","2004","41.89"
"ALB","","ALL","2005","44.03"
"ALB","","ALL","2006","34.82"
"ALB","","ALL","2007","35.08"
"ALB","","ALL","2008","34.87"
"ALB","","ALL","2009","31.78"
"ARM","","ALL","1981","48.48"
"ARM","","ALL","1982","44.4"
"ARM","","ALL","1985","45.73"
"ARM","","ALL","1986","42.93"
"ARM","","ALL","1987","48.93"
"ARM","","ALL","1988","538.15"
"ARM","","ALL","1989","75.3"
"ARM","","ALL","1990","65.57"
"ARM","","ALL","1991","59.89"
"ARM","","ALL","1992","75.64"
"ARM","","ALL","1993","68.65"
"ARM","","ALL","1994","70.41"
"ARM","","ALL","1995","50.16"
"ARM","","ALL","1996","45.45"
"ARM","","ALL","1997","41.5"
"ARM","","ALL","1998","37.92"
"ARM","","ALL","1999","32.36"
"ARM","","ALL","2000","31.21"
"ARM","","ALL","2001","31.31"
"ARM","","ALL","2002","37.03"
"ARM","","ALL","2003","36.02"
"ARM","","ALL","2008","42.19"
"ARM","","ALL","2012","44.09"
"ARM","","ALL","2013","41.39"
"ARM","","ALL","2014","39.54"
"ARM","","ALL","2015","43.67"
"ARM","","ALL","2016","41.96"
"ARM","","ALL","2017","35.89"
"ARM","","ALL","2018","34.33"
"ARM","","ALL","2019","34.9"
"ARM","","ALL","2022","41.62"
"AUT","","ALL","1969","97.06"
"AUT","","ALL","1970","103.47"
"AUT","","ALL","1971","106.95"
"AUT","","ALL","1972","106.53"
"AUT","","ALL","1973","101.24"
"AUT","","ALL","1974","99.21"
"AUT","","ALL","1975","96.57"
"AUT","","ALL","1976","91.14"
"AUT","","ALL","1977","90.56"
"AUT","","ALL","1978","91.44"
"AUT","","ALL","1979","90.32"
"AUT","","ALL","1980","85.69"
"AUT","","ALL","1981","84.08"
"AUT","","ALL","1982","85.28"
"AUT","","ALL","1983","85.45"
"AUT","","ALL","1984","80.71"
"AUT","","ALL","1985","77.12"
"AUT","","ALL","1986","74.2"
"AUT","","ALL","1987","71.94"
"AUT","","ALL","1988","69.32"
"AUT","","ALL","1989","67.64"
"AUT","","ALL","1990","64.05"
"AUT","","ALL","1991","61.5"
"AUT","","ALL","1992","57.67"
"AUT","","ALL","1993","57.36"
"AUT","","ALL","1994","58.71"
"AUT","","ALL","1995","55"
"AUT","","ALL","1996","52.62"
"AUT","","ALL","1997","49.16"
"AUT","","ALL","1998","46.39"
"AUT","","ALL","1999","48.12"
"AUT","","ALL","2000","48.26"
"AUT","","ALL","2001","45.53"
"AUT","","ALL","2002","45.92"
"AUT","","ALL","2003","44.55"
"AUT","","ALL","2004","42.56"
"AUT","","ALL","2005","43.99"
"AUT","","ALL","2006","41"
"AUT","","ALL","2007","40.37"
"AUT","","ALL","2008","38.83"
"AUT","","ALL","2009","38.96"
"AUT","","ALL","2010","37.43"
"AUT","","ALL","2011","36.87"
"AUT","","ALL","2012","37.26"
"AUT","","ALL","2013","35.14"
"AUT","","ALL","2014","34.69"
"AUT","","ALL","2015","36.15"
"AUT","","ALL","2016","33.43"
"AUT","","ALL","2017","34"
"AUT","","ALL","2018","34.2"
"AUT","","ALL","2019","34.52"
"AUT","","ALL","2020","34.92"
"AUT","","ALL","2021","35.2"
"AZE","","ALL","1981","56.18"
"AZE","","ALL","1982","52.58"
"AZE","","ALL","1985","47.16"
"AZE","","ALL","1986","51.52"
"AZE","","ALL","1987","49.87"
"AZE","","ALL","1988","50.66"
"AZE","","ALL","1989","49.47"
"AZE","","ALL","1990","52.45"
"AZE","","ALL","1991","51.85"
"AZE","","ALL","1992","99"
"AZE","","ALL","1993","81.38"
"AZE","","ALL","1994","95.3"
"AZE","","ALL","1995","52.77"
"AZE","","ALL","1996","42.55"
"AZE","","ALL","1997","38.47"
"AZE","","ALL","1998","35.24"
"AZE","","ALL","1999","31.63"
"AZE","","ALL","2000","29.68"
"AZE","","ALL","2001","27.37"
"AZE","","ALL","2002","25.57"
"AZE","","ALL","2003","28.88"
"AZE","","ALL","2004","26.11"
"AZE","","ALL","2007","28.57"
"BEL","","ALL","1968","80.25"
"BEL","","ALL","1969","83.75"
"BEL","","ALL","1970","84.67"
"BEL","","ALL","1971","83.33"
"BEL","","ALL","1972","84.15"
"BEL","","ALL","1973","80.98"
"BEL","","ALL","1974","78.7"
"BEL","","ALL","1975","75.73"
"BEL","","ALL","1976","76.4"
"BEL","","ALL","1977","76.24"
"BEL","","ALL","1978","79.26"
"BEL","","ALL","1979","77.88"
"BEL","","ALL","1980","80.1"
"BEL","","ALL","1981","77.77"
"BEL","","ALL","1982","75.9"
"BEL","","ALL","1983","74.28"
"BEL","","ALL","1984","68.25"
"BEL","","ALL","1985","62.36"
"BEL","","ALL","1986","64.35"
"BEL","","ALL","1987","62.5"
"BEL","","ALL","1988","59.88"
"BEL","","ALL","1989","57.68"
"BEL","","ALL","1990","57.96"
"BEL","","ALL","1991","57.62"
"BEL","","ALL","1992","56.3"
"BEL","","ALL","1993","59.15"
"BEL","","ALL","1994","60.19"
