"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"ALB","","FEMALE","1987","71.51"
"ALB","","FEMALE","1988","77.75"
"ALB","","FEMALE","1989","72.97"
"ALB","","FEMALE","1992","59.26"
"ALB","","FEMALE","1993","52.24"
"ALB","","FEMALE","1994","47.92"
"ALB","","FEMALE","1995","59.79"
"ALB","","FEMALE","1996","70.29"
"ALB","","FEMALE","1997","67.37"
"ALB","","FEMALE","1998","71.29"
"ALB","","FEMALE","1999","77.24"
"ALB","","FEMALE","2000","79.35"
"ALB","","FEMALE","2001","65.95"
"ALB","","FEMALE","2002","75.67"
"ALB","","FEMALE","2003","83.37"
"ALB","","FEMALE","2004","82.07"
"ALB","","FEMALE","2005","71.93"
"ALB","","FEMALE","2006","74.38"
"ALB","","FEMALE","2007","59.55"
"ALB","","FEMALE","2008","65.86"
"ALB","","FEMALE","2009","62.82"
"ARM","","FEMALE","1981","95.17"
"ARM","","FEMALE","1982","96.83"
"ARM","","FEMALE","1985","105.16"
"ARM","","FEMALE","1986","101.62"
"ARM","","FEMALE","1987","108.85"
"ARM","","FEMALE","1988","106.5"
"ARM","","FEMALE","1989","110.5"
"ARM","","FEMALE","1990","121.46"
"ARM","","FEMALE","1991","108.47"
"ARM","","FEMALE","1992","110.31"
"ARM","","FEMALE","1993","99.68"
"ARM","","FEMALE","1994","87.3"
"ARM","","FEMALE","1995","93.67"
"ARM","","FEMALE","1996","98.64"
"ARM","","FEMALE","1997","96.31"
"ARM","","FEMALE","1998","108.42"
"ARM","","FEMALE","1999","103.85"
"ARM","","FEMALE","2000","101.82"
"ARM","","FEMALE","2001","104.72"
"ARM","","FEMALE","2002","121.9"
"ARM","","FEMALE","2003","126.1"
"ARM","","FEMALE","2008","121.91"
"ARM","","FEMALE","2012","149.9"
"ARM","","FEMALE","2013","146.07"
"ARM","","FEMALE","2014","140.56"
"ARM","","FEMALE","2015","149.93"
"ARM","","FEMALE","2016","133.69"
"ARM","","FEMALE","2017","130.44"
"ARM","","FEMALE","2018","124.54"
"ARM","","FEMALE","2019","125.08"
"ARM","","FEMALE","2022","117.8"
"AUT","","FEMALE","1969","189.33"
"AUT","","FEMALE","1970","190.26"
"AUT","","FEMALE","1971","185.91"
"AUT","","FEMALE","1972","183.88"
"AUT","","FEMALE","1973","181.42"
"AUT","","FEMALE","1974","184.94"
"AUT","","FEMALE","1975","178.43"
"AUT","","FEMALE","1976","177.34"
"AUT","","FEMALE","1977","177.66"
"AUT","","FEMALE","1978","169.74"
"AUT","","FEMALE","1979","169.01"
"AUT","","FEMALE","1980","172.55"
"AUT","","FEMALE","1981","170.51"
"AUT","","FEMALE","1982","171.5"
"AUT","","FEMALE","1983","168.42"
"AUT","","FEMALE","1984","171.41"
"AUT","","FEMALE","1985","165.92"
"AUT","","FEMALE","1986","163.21"
"AUT","","FEMALE","1987","166.18"
"AUT","","FEMALE","1988","163.86"
"AUT","","FEMALE","1989","162.21"
"AUT","","FEMALE","1990","161.52"
"AUT","","FEMALE","1991","159.02"
"AUT","","FEMALE","1992","160.06"
"AUT","","FEMALE","1993","159.47"
"AUT","","FEMALE","1994","156.38"
"AUT","","FEMALE","1995","154.13"
"AUT","","FEMALE","1996","147.94"
"AUT","","FEMALE","1997","146.63"
"AUT","","FEMALE","1998","141.74"
"AUT","","FEMALE","1999","141.72"
"AUT","","FEMALE","2000","142.37"
"AUT","","FEMALE","2001","136.9"
"AUT","","FEMALE","2002","133.93"
"AUT","","FEMALE","2003","137.2"
"AUT","","FEMALE","2004","135.91"
"AUT","","FEMALE","2005","132.8"
"AUT","","FEMALE","2006","127.87"
"AUT","","FEMALE","2007","127.55"
"AUT","","FEMALE","2008","127.79"
"AUT","","FEMALE","2009","125.8"
"AUT","","FEMALE","2010","125.59"
"AUT","","FEMALE","2011","125.78"
"AUT","","FEMALE","2012","126.87"
"AUT","","FEMALE","2013","121.46"
"AUT","","FEMALE","2014","124.76"
"AUT","","FEMALE","2015","119.54"
"AUT","","FEMALE","2016","118.21"
"AUT","","FEMALE","2017","114.63"
"AUT","","FEMALE","2018","114.66"
"AUT","","FEMALE","2019","113.89"
"AUT","","FEMALE","2020","111.48"
"AUT","","FEMALE","2021","109.36"
"AZE","","FEMALE","1981","100.18"
"AZE","","FEMALE","1982","108.22"
"AZE","","FEMALE","1985","103.68"
"AZE","","FEMALE","1986","109.97"
"AZE","","FEMALE","1987","106.59"
"AZE","","FEMALE","1988","102.22"
"AZE","","FEMALE","1989","92.71"
"AZE","","FEMALE","1990","85.6"
"AZE","","FEMALE","1991","81.62"
"AZE","","FEMALE","1992","86.75"
"AZE","","FEMALE","1993","82.41"
"AZE","","FEMALE","1994","84.73"
"AZE","","FEMALE","1995","78.62"
"AZE","","FEMALE","1996","74.63"
