"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"ALB","","MALE","1987","167.05"
"ALB","","MALE","1988","188.45"
"ALB","","MALE","1989","177.11"
"ALB","","MALE","1992","138.42"
"ALB","","MALE","1993","122.77"
"ALB","","MALE","1994","112.36"
"ALB","","MALE","1995","154.66"
"ALB","","MALE","1996","171.18"
"ALB","","MALE","1997","160.85"
"ALB","","MALE","1998","168.54"
"ALB","","MALE","1999","172.58"
"ALB","","MALE","2000","179.6"
"ALB","","MALE","2001","131.12"
"ALB","","MALE","2002","148.83"
"ALB","","MALE","2003","165"
"ALB","","MALE","2004","152.81"
"ALB","","MALE","2005","143.38"
"ALB","","MALE","2006","136.05"
"ALB","","MALE","2007","120.29"
"ALB","","MALE","2008","131.42"
"ALB","","MALE","2009","123.14"
"ARM","","MALE","1981","172.33"
"ARM","","MALE","1982","174.54"
"ARM","","MALE","1985","180.66"
"ARM","","MALE","1986","169.91"
"ARM","","MALE","1987","186.19"
"ARM","","MALE","1988","191.67"
"ARM","","MALE","1989","192.78"
"ARM","","MALE","1990","204.12"
"ARM","","MALE","1991","195.4"
"ARM","","MALE","1992","180.28"
"ARM","","MALE","1993","172.91"
"ARM","","MALE","1994","150.44"
"ARM","","MALE","1995","157.19"
"ARM","","MALE","1996","168.47"
"ARM","","MALE","1997","162.14"
"ARM","","MALE","1998","155.49"
"ARM","","MALE","1999","170.94"
"ARM","","MALE","2000","159.91"
"ARM","","MALE","2001","165.55"
"ARM","","MALE","2002","206.19"
"ARM","","MALE","2003","206.5"
"ARM","","MALE","2008","221.25"
"ARM","","MALE","2012","241.95"
"ARM","","MALE","2013","237.83"
"ARM","","MALE","2014","251.68"
"ARM","","MALE","2015","260.85"
"ARM","","MALE","2016","247.76"
"ARM","","MALE","2017","236.55"
"ARM","","MALE","2018","215.21"
"ARM","","MALE","2019","223.72"
"ARM","","MALE","2022","197.87"
"AUT","","MALE","1969","286.76"
"AUT","","MALE","1970","290.78"
"AUT","","MALE","1971","292.39"
"AUT","","MALE","1972","286.69"
"AUT","","MALE","1973","288.22"
"AUT","","MALE","1974","286.09"
"AUT","","MALE","1975","282.31"
"AUT","","MALE","1976","284.5"
"AUT","","MALE","1977","278.42"
"AUT","","MALE","1978","285.13"
"AUT","","MALE","1979","281.88"
"AUT","","MALE","1980","284.36"
"AUT","","MALE","1981","280.3"
"AUT","","MALE","1982","276.67"
"AUT","","MALE","1983","272.53"
"AUT","","MALE","1984","278.28"
"AUT","","MALE","1985","269.78"
"AUT","","MALE","1986","269.17"
"AUT","","MALE","1987","270.67"
"AUT","","MALE","1988","268.78"
"AUT","","MALE","1989","269.44"
"AUT","","MALE","1990","270.41"
"AUT","","MALE","1991","272.11"
"AUT","","MALE","1992","267.01"
"AUT","","MALE","1993","269.92"
"AUT","","MALE","1994","255.6"
"AUT","","MALE","1995","254.76"
"AUT","","MALE","1996","250.82"
"AUT","","MALE","1997","247.87"
"AUT","","MALE","1998","244"
"AUT","","MALE","1999","238.68"
"AUT","","MALE","2000","231.89"
"AUT","","MALE","2001","226.69"
"AUT","","MALE","2002","226.4"
"AUT","","MALE","2003","228.81"
"AUT","","MALE","2004","224.72"
"AUT","","MALE","2005","216.52"
"AUT","","MALE","2006","213.16"
"AUT","","MALE","2007","204.86"
"AUT","","MALE","2008","211.52"
"AUT","","MALE","2009","204.48"
"AUT","","MALE","2010","198.9"
"AUT","","MALE","2011","196.44"
"AUT","","MALE","2012","193.98"
"AUT","","MALE","2013","190.78"
"AUT","","MALE","2014","187.01"
"AUT","","MALE","2015","183.03"
"AUT","","MALE","2016","176.39"
"AUT","","MALE","2017","175.37"
"AUT","","MALE","2018","173.65"
"AUT","","MALE","2019","166.77"
"AUT","","MALE","2020","168.37"
"AUT","","MALE","2021","162.96"
"AZE","","MALE","1981","211.14"
"AZE","","MALE","1982","210.12"
"AZE","","MALE","1985","199.67"
"AZE","","MALE","1986","210.41"
"AZE","","MALE","1987","210.25"
"AZE","","MALE","1988","207.58"
"AZE","","MALE","1989","188.02"
"AZE","","MALE","1990","174.01"
"AZE","","MALE","1991","167.3"
