Kraj;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002
Polska;;4.9;5.0;5.0;4.7;4.4;4.4;4.7;4.4;4.2;4.4;;;
Czechy;4.2;4.9;5.0;5.2;6.8;6.9;6.8;6.6;6.5;6.5;6.5;6.5;6.7;6.4
Słowacja;5.0;5.4;4.9;5.1;6.4;7.1;5.9;7.0;6.7;6.4;6.0;5.9;5.7;5.7
Węgry;5.2;6.1;6.3;6.8;6.7;7.2;6.3;5.9;5.7;5.5;5.3;5.1;5.1;
Słowenia;5.6;5.6;5.2;7.4;7.1;7.2;7.0;6.9;6.8;6.9;6.7;6.9;7.1;5.8
Estonia;;;;;;;5.4;5.2;5.1;5.2;4.5;4.3;4.2
Łotwa;;2.5;2.6;2.8;4.1;4.1;4.0;4.0;3.8;3.3;4.1;3.5;3.4;3.6
Litwa;2.8;3.0;3.3;3.8;3.8;4.4;4.5;4.2;4.7;4.8;4.6;4.4;4.1;4.6
Bułgaria;;;6.4;5.7;5.1;4.2;3.5;2.9;2.8;3.4;3.3;3.3;3.0;3.1
Rumunia;2.4;2.8;3.3;2.6;2.7;3.0;3.2;3.4;;;;;;
Rosja;;;2.8;2.7;3.6;4.6;4.3;4.2;4.4;3.7;3.0;3.0;;
Ukraina;;;3.3;;3.3;;;3.8;3.5;3.5;3.1;4.2;;
Białoruś;;2.5;;;;5.4;4.9;5.0;5.1;4.9;5.0;5.0;;
Kazachstan;;3.3;4.4;2.1;2.5;2.0;2.0;2.7;;1.9;2.1;1.9;;
